Time,Channel A,Channel B,Channel C
(s),(V),(V),(V)

-2.50010001,0.13483080,0.06866664,0.05920591
-2.50005001,0.13464770,0.05462813,0.03631703
-2.50000001,0.13449510,0.07904294,0.05554369
-2.49995001,0.13428140,0.08407849,0.06042665
-2.49990001,0.13428140,0.06561480,0.03265481
-2.49985001,0.13428140,0.06256294,0.03082369
-2.49980001,0.13409830,0.07049776,0.03265481
-2.49975001,0.13415940,0.05829035,0.02090518
-2.49970001,0.13422040,0.08041627,0.06164739
-2.49965001,0.13412890,0.04593036,0.03448591
-2.49960001,0.13415940,0.09140293,0.05615406
-2.49955001,0.13422040,0.07782220,0.05737480
-2.49950001,0.13418990,0.05401776,0.05676443
-2.49945001,0.13406780,0.06561480,0.06408887
-2.49940001,0.13415940,0.07599109,0.02960295
-2.49935001,0.13418990,0.06378368,0.05676443
-2.49930001,0.13415940,0.06866664,0.06790368
-2.49925001,0.13418990,0.05264443,0.04440443
-2.49920001,0.13418990,0.07049776,0.03875851
-2.49915001,0.13406780,0.06927702,0.02716147
-2.49910001,0.13403730,0.07538072,0.04562517
-2.49905001,0.13403730,0.07415998,0.08148442
-2.49900001,0.13403730,0.05890072,0.05554369
-2.49895001,0.13394570,0.05203406,0.05981628
-2.49890001,0.13400680,0.05890072,0.05233924
-2.49885001,0.13397630,0.05951110,0.00976592
-2.49880001,0.13382370,0.07477035,0.03570665
-2.49875001,0.13394570,0.03799554,0.03997925
-2.49870001,0.13406780,0.06317332,0.05111850
-2.49865001,0.13385420,0.07415998,0.04806665
-2.49860001,0.13397630,0.08285775,0.06042665
-2.49855001,0.13406780,0.06561480,0.04074221
-2.49850001,0.13391520,0.08102664,0.03692739
-2.49845001,0.13394570,0.08651997,0.05859554
-2.49840001,0.13400680,0.08346812,0.05859554
-2.49835001,0.13406780,0.07904294,0.05050813
-2.49830001,0.13391520,0.06744590,0.07827998
-2.49825001,0.13394570,0.06927702,0.02456740
-2.49820001,0.13388470,0.05829035,0.06851406
-2.49815001,0.13382370,0.07538072,0.05920591
-2.49810001,0.13394570,0.05645924,0.04989776
-2.49805001,0.13394570,0.09201331,0.04928739
-2.49800001,0.13376260,0.05523850,0.03875851
-2.49795001,0.13376260,0.07232887,0.06653035
-2.49790001,0.13385420,0.05645924,0.05615406
-2.49785001,0.13385420,0.06012146,0.05111850
-2.49780001,0.13361000,0.07110813,0.06973480
-2.49775001,0.13364060,0.08285775,0.05798517
-2.49770001,0.13370160,0.05645924,0.07705924
-2.49765001,0.13370160,0.09201331,0.04684591
-2.49760001,0.13373210,0.06317332,0.02960295
-2.49755001,0.13364060,0.07599109,0.04989776
-2.49750001,0.13354900,0.06927702,0.04318369
-2.49745001,0.13364060,0.06927702,0.06530961
-2.49740001,0.13376260,0.06988738,0.05676443
-2.49735001,0.13357950,0.04837184,0.03448591
-2.49730001,0.13348800,0.09811701,0.08453627
-2.49725001,0.13364060,0.05020295,0.03997925
-2.49720001,0.13367110,0.08407849,0.04440443
-2.49715001,0.13345740,0.08651997,0.03692739
-2.49710001,0.13345740,0.05142369,-0.00686667
-2.49705001,0.13345740,0.08041627,0.05676443
-2.49700001,0.13342690,0.09567553,0.02716147
-2.49695001,0.13342690,0.07354961,0.03326517
-2.49690001,0.13339640,0.07049776,0.02716147
-2.49685001,0.13327430,0.06927702,0.04928739
-2.49680001,0.13339640,0.06683554,0.03509629
-2.49675001,0.13348800,0.07965331,0.07766961
-2.49670001,0.13357950,0.05890072,0.07461776
-2.49665001,0.13336590,0.07049776,0.08453627
-2.49660001,0.13351850,0.06927702,0.03143407
-2.49655001,0.13357950,0.06439406,0.04196295
-2.49650001,0.13345740,0.07171850,0.06973480
-2.49645001,0.13354900,3.20184900,0.02838221
-2.49640001,0.13348800,3.20246000,0.04257332
-2.49635001,0.13351850,3.19574600,0.03631703
-2.49630001,0.13348800,3.18277500,0.03570665
-2.49625001,0.13357950,3.19208400,0.05233924
-2.49620001,0.13351850,3.17362000,0.05355999
-2.49615001,0.13342690,3.20856400,0.03936888
-2.49610001,0.13357950,3.20856400,0.03387555
-2.49605001,0.13348800,3.21176800,0.03631703
-2.49600001,0.13342690,3.21726100,0.04318369
-2.49595001,0.13351850,3.18155500,0.04074221
-2.49590001,0.13351850,3.19635600,0.02456740
-2.49585001,0.13342690,3.19940800,0.04440443
-2.49580001,0.13342690,3.20612200,0.02899258
-2.49575001,0.13345740,3.18414900,0.04135258
-2.49570001,0.13339640,3.22519600,0.05355999
-2.49565001,0.13339640,3.20917400,0.05798517
-2.49560001,0.13342690,3.20795300,0.07156590
-2.49555001,0.13351850,3.17423000,0.02578814
-2.49550001,0.13333540,3.21726100,0.05981628
-2.49545001,0.13336590,3.21176800,0.07278664
-2.49540001,0.13342690,3.20368100,0.03814813
-2.49535001,0.13330480,3.21848200,0.06103702
-2.49530001,0.13330480,3.17239900,0.03753777
-2.49525001,0.13324380,3.22092300,0.04135258
-2.49520001,0.13327430,3.18598000,0.03143407
-2.49515001,0.13324380,3.20734300,0.04867702
-2.49510001,0.13318280,3.21054700,0.02578814
-2.49505001,0.13309120,3.18598000,0.04684591
-2.49500001,0.13296910,3.17972400,0.04379406
-2.49495001,0.13312170,3.20001800,0.04562517
-2.49490001,0.13309120,3.20123900,0.02029481
-2.49485001,0.13290810,3.20734300,0.03265481
-2.49480001,0.13293860,3.19879700,0.05355999
-2.49475001,0.13299970,3.20123900,0.04196295
-2.49470001,0.13309120,3.20001800,0.05050813
-2.49465001,0.13306070,3.19818700,0.04074221
-2.49460001,0.13303020,3.18720100,0.04745628
-2.49455001,0.13296910,3.19269400,0.04806665
-2.49450001,0.13303020,3.22153400,0.03570665
-2.49445001,0.13315230,3.21604100,0.05981628
-2.49440001,0.13303020,3.21726100,0.06164739
-2.49435001,0.13287760,3.19879700,0.04318369
-2.49430001,0.13296910,3.19391500,0.03631703
-2.49425001,0.13312170,3.20429100,0.04562517
-2.49420001,0.13299970,3.19513500,0.04623554
-2.49415001,0.13290810,3.20490100,0.03143407
-2.49410001,0.13293860,3.20123900,0.03387555
-2.49405001,0.13296910,3.21787200,0.05355999
-2.49400001,0.13299970,3.20734300,0.04501480
-2.49395001,0.13296910,3.18155500,0.03875851
-2.49390001,0.13281660,3.18720100,0.03753777
-2.49385001,0.13278600,3.21054700,0.04928739
-2.49380001,0.13293860,3.20856400,0.04928739
-2.49375001,0.13299970,3.16812700,0.06042665
-2.49370001,0.13272500,3.20856400,0.06103702
-2.49365001,0.13278600,3.19269400,0.06408887
-2.49360001,0.13284710,3.21787200,0.04806665
-2.49355001,0.13278600,3.19269400,0.02899258
-2.49350001,0.13275550,3.23374100,0.05554369
-2.49345001,0.13272500,3.18277500,0.03387555
-2.49340001,0.13275550,3.18475900,0.04074221
-2.49335001,0.13260290,3.25586700,0.06653035
-2.49330001,0.13269450,3.17728200,0.03936888
-2.49325001,0.13260290,3.21420900,0.04501480
-2.49320001,0.13254190,3.20246000,0.07339702
-2.49315001,0.13257240,3.18353800,0.04318369
-2.49310001,0.13254190,3.21909200,0.06225776
-2.49305001,0.13238930,3.20368100,0.04806665
-2.49300001,0.13238930,3.20184900,0.03570665
-2.49295001,0.13238930,3.20490100,0.04928739
-2.49290001,0.13235880,3.19696600,0.04379406
-2.49285001,0.13229770,3.19696600,0.05111850
-2.49280001,0.13241980,3.20062900,0.05615406
-2.49275001,0.13254190,3.19635600,0.03265481
-2.49270001,0.13245030,3.20429100,0.02960295
-2.49265001,0.13232830,3.20673200,0.06653035
-2.49260001,0.13235880,3.19086300,0.01785333
-2.49255001,0.13232830,3.21237800,0.03753777
-2.49250001,0.13235880,3.21665100,0.03509629
-2.49245001,0.13248080,3.20429100,0.05554369
-2.49240001,0.13235880,3.19574600,0.02777184
-2.49235001,0.13238930,3.20551200,0.03570665
-2.49230001,0.13245030,3.19818700,0.03082369
-2.49225001,0.13248080,3.22885800,0.05493332
-2.49220001,0.13229770,3.21359900,0.02960295
-2.49215001,0.13238930,3.17911300,0.04562517
-2.49210001,0.13254190,3.19208400,0.05554369
-2.49205001,0.13238930,3.20612200,0.03387555
-2.49200001,0.13229770,3.17056800,0.04318369
-2.49195001,0.13235880,3.18094400,0.02395703
-2.49190001,0.13226720,3.21543000,0.07217628
-2.49185001,0.13229770,3.20673200,0.04379406
-2.49180001,0.13241980,3.18964200,0.03265481
-2.49175001,0.13248080,3.21176800,0.04257332
-2.49170001,0.13241980,3.20001800,0.04928739
-2.49165001,0.13248080,3.18781100,0.04928739
-2.49160001,0.13251140,3.22153400,0.03143407
-2.49155001,0.13248080,3.17911300,0.03265481
-2.49150001,0.13266400,3.20490100,0.05111850
-2.49145001,0.13257240,3.18720100,0.03814813
-2.49140001,0.13245030,3.16202300,0.03936888
-2.49135001,0.13229770,3.19940800,0.05432295
-2.49130001,0.13254190,3.17239900,0.04501480
-2.49125001,0.13241980,3.20795300,0.02456740
-2.49120001,0.13229770,3.23130000,0.05172887
-2.49115001,0.13241980,3.17117800,0.06042665
-2.49110001,0.13251140,3.21237800,0.04501480
-2.49105001,0.13248080,3.20917400,0.05798517
-2.49100001,0.13254190,3.19818700,0.06912442
-2.49095001,0.13251140,3.21909200,0.02960295
-2.49090001,0.13257240,3.19818700,0.03326517
-2.49085001,0.13266400,3.21787200,0.06469924
-2.49080001,0.13275550,3.18964200,0.06103702
-2.49075001,0.13257240,3.18155500,0.04318369
-2.49070001,0.13266400,3.23694600,0.07339702
-2.49065001,0.13287760,3.17911300,0.04562517
-2.49060001,0.13290810,3.18781100,0.05111850
-2.49055001,0.13275550,3.21787200,0.05233924
-2.49050001,0.13281660,3.21482000,0.02334666
-2.49045001,0.13293860,3.20307000,0.06286813
-2.49040001,0.13299970,3.20307000,0.06912442
-2.49035001,0.13303020,3.18903200,0.03448591
-2.49030001,0.13299970,3.18598000,0.05172887
-2.49025001,0.13306070,3.20001800,0.04440443
-2.49020001,0.13315230,3.20490100,0.05859554
-2.49015001,0.13324380,3.18475900,0.04501480
-2.49010001,0.13318280,3.16934700,0.02456740
-2.49005001,0.13296910,3.21909200,0.07889035
-2.49000001,0.13321330,3.18842100,0.04074221
-2.48995001,0.13321330,3.19879700,0.04928739
-2.48990001,0.13306070,3.21420900,0.07034516
-2.48985001,0.13336590,3.18353800,0.05233924
-2.48980001,0.13345740,3.20429100,0.06408887
-2.48975001,0.13364060,3.19513500,0.05050813
-2.48970001,0.13364060,3.20307000,0.07278664
-2.48965001,0.13385420,3.22885800,0.06103702
-2.48960001,0.13376260,3.18842100,0.03509629
-2.48955001,0.13370160,3.21176800,0.05050813
-2.48950001,0.13391520,3.21054700,0.03997925
-2.48945001,0.13385420,3.17850300,0.02960295
-2.48940001,0.13385420,3.20856400,0.03753777
-2.48935001,0.13379310,3.19025200,0.02090518
-2.48930001,0.13394570,3.19208400,0.04196295
-2.48925001,0.13385420,3.20734300,0.05859554
-2.48920001,0.13394570,3.19208400,0.04501480
-2.48915001,0.13397630,3.18659000,0.04440443
-2.48910001,0.13394570,3.19330400,0.01724296
-2.48905001,0.13391520,3.20993700,0.03570665
-2.48900001,0.13394570,3.20551200,0.06286813
-2.48895001,0.13388470,3.18414900,0.05493332
-2.48890001,0.13388470,3.18903200,0.04623554
-2.48885001,0.13394570,3.19574600,0.03082369
-2.48880001,0.13397630,3.20490100,0.05432295
-2.48875001,0.13388470,3.21726100,0.03387555
-2.48870001,0.13391520,3.18720100,0.05172887
-2.48865001,0.13397630,3.18781100,0.01480148
-2.48860001,0.13397630,3.20307000,0.02960295
-2.48855001,0.13400680,3.18475900,0.03448591
-2.48850001,0.13406780,3.20734300,0.02639851
-2.48845001,0.13403730,3.18720100,0.03997925
-2.48840001,0.13397630,3.19147300,0.04135258
-2.48835001,0.13418990,3.19086300,0.03509629
-2.48830001,0.13415940,3.18536900,0.04074221
-2.48825001,0.13415940,3.19208400,0.06042665
-2.48820001,0.13422040,3.20123900,0.02151555
-2.48815001,0.13428140,3.17239900,0.07217628
-2.48810001,0.13431200,3.18842100,0.03631703
-2.48805001,0.13409830,3.19513500,0.05554369
-2.48800001,0.13412890,3.19635600,0.03021332
-2.48795001,0.13418990,3.16934700,0.06729332
-2.48790001,0.13428140,3.19086300,0.04745628
-2.48785001,0.13434250,3.18842100,0.04318369
-2.48780001,0.13418990,3.19635600,0.02212592
-2.48775001,0.13418990,3.23999800,0.06225776
-2.48770001,0.13443400,3.18781100,0.05554369
-2.48765001,0.13452560,3.19696600,0.03143407
-2.48760001,0.13440350,3.17850300,0.05493332
-2.48755001,0.13443400,3.19208400,0.01281777
-2.48750001,0.13461710,3.19391500,0.04806665
-2.48745001,0.13483080,3.21054700,0.05050813
-2.48740001,0.13483080,3.20123900,0.05676443
-2.48735001,0.13486130,3.20246000,0.03387555
-2.48730001,0.13486130,3.20123900,0.07400738
-2.48725001,0.13495280,3.22763800,0.07644887
-2.48720001,0.13510540,3.17850300,0.01602222
-2.48715001,0.13510540,3.17972400,0.03692739
-2.48710001,0.13495280,3.20734300,0.05737480
-2.48705001,0.13516650,3.19330400,0.02716147
-2.48700001,0.13534960,3.19025200,0.03082369
-2.48695001,0.13528860,3.20062900,0.03692739
-2.48690001,0.13525800,3.22092300,0.04684591
-2.48685001,0.13534960,3.22031300,0.05798517
-2.48680001,0.13559370,3.20856400,0.05111850
-2.48675001,0.13559370,3.19147300,0.06729332
-2.48670001,0.13574630,3.19635600,0.05233924
-2.48665001,0.13571580,3.19513500,0.03570665
-2.48660001,0.13574630,3.21543000,0.02273629
-2.48655001,0.13583790,3.17789200,0.06408887
-2.48650001,0.13583790,3.18353800,0.02395703
-2.48645001,0.13580740,3.20551200,3.20352800
-2.48640001,0.13583790,3.19391500,3.17941800
-2.48635001,0.13596000,3.20123900,3.18308000
-2.48630001,0.13592940,3.18536900,3.19544100
-2.48625001,0.13589890,3.20062900,3.18811600
-2.48620001,0.13596000,3.17850300,3.16400600
-2.48615001,0.13620410,3.18414900,3.16889000
-2.48610001,0.13608200,3.20551200,3.20169700
-2.48605001,0.13620410,3.20368100,3.17941800
-2.48600001,0.13626510,3.20612200,3.17011000
-2.48595001,0.13626510,3.20490100,3.20352800
-2.48590001,0.13626510,3.19940800,3.17819800
-2.48585001,0.13638720,3.20795300,3.18186000
-2.48580001,0.13632620,3.20856400,3.18933700
-2.48575001,0.13644820,3.19391500,3.16644800
-2.48570001,0.13660090,3.19513500,3.17636700
-2.48565001,0.13666190,3.19513500,3.18872600
-2.48560001,0.13657030,3.20673200,3.18613200
-2.48555001,0.13669240,3.18842100,3.17255200
-2.48550001,0.13678400,3.21848200,3.20230700
-2.48545001,0.13675340,3.21970300,3.19177800
-2.48540001,0.13693650,3.20612200,3.18124900
-2.48535001,0.13690600,3.22153400,3.20291800
-2.48530001,0.13684500,3.21176800,3.17697700
-2.48525001,0.13684500,3.20551200,3.17377200
-2.48520001,0.13702810,3.20673200,3.18186000
-2.48515001,0.13699760,3.16873700,3.18491200
-2.48510001,0.13690600,3.21359900,3.19299900
-2.48505001,0.13699760,3.18598000,3.17377200
-2.48500001,0.13705860,3.20612200,3.17880800
-2.48495001,0.13696710,3.20993700,3.17072100
-2.48490001,0.13711970,3.20734300,3.16705800
-2.48485001,0.13711970,3.20795300,3.17880800
-2.48480001,0.13708910,3.19025200,3.17636700
-2.48475001,0.13724170,3.20612200,3.20093400
-2.48470001,0.13733330,3.23130000,3.17377200
-2.48465001,0.13715020,3.18842100,3.16400600
-2.48460001,0.13711970,3.20993700,3.17316200
-2.48455001,0.13736380,3.18598000,3.17697700
-2.48450001,0.13742480,3.20246000,3.19238900
-2.48445001,0.13724170,3.23496200,3.19727200
-2.48440001,0.13721120,3.19513500,3.16522700
-2.48435001,0.13736380,3.22458600,3.16400600
-2.48430001,0.13736380,3.20001800,3.17941800
-2.48425001,0.13742480,3.17239900,3.17072100
-2.48420001,0.13733330,3.19635600,3.16889000
-2.48415001,0.13727230,3.19269400,3.19849200
-2.48410001,0.13739430,3.20917400,3.16705800
-2.48405001,0.13754690,3.20673200,3.16522700
-2.48400001,0.13736380,3.19635600,3.15347800
-2.48395001,0.13715020,3.20673200,3.18186000
-2.48390001,0.13724170,3.20673200,3.18308000
-2.48385001,0.13739430,3.21604100,3.16156500
-2.48380001,0.13730280,3.19391500,3.17133100
-2.48375001,0.13733330,3.19208400,3.20352800
-2.48370001,0.13742480,3.19574600,3.16583800
-2.48365001,0.13745540,3.21543000,3.16705800
-2.48360001,0.13748590,3.18964200,3.19116800
-2.48355001,0.13760800,3.22092300,3.20093400
-2.48350001,0.13745540,3.18964200,3.17255200
-2.48345001,0.13736380,0.06866664,3.19360900
-2.48340001,0.13760800,0.05142369,3.17316200
-2.48335001,0.13757740,0.08224738,3.19605100
-2.48330001,0.13751640,0.05584887,0.06225776
-2.48325001,0.13754690,0.07599109,0.05554369
-2.48320001,0.13760800,0.07477035,0.03753777
-2.48315001,0.13757740,0.05645924,0.05798517
-2.48310001,0.13751640,0.05523850,0.07461776
-2.48305001,0.13766900,0.06500442,0.03631703
-2.48300001,0.13754690,0.07110813,0.04745628
-2.48295001,0.13754690,0.07415998,0.05554369
-2.48290001,0.13766900,0.04776147,0.01968444
-2.48285001,0.13751640,0.05142369,0.04867702
-2.48280001,0.13754690,0.07965331,0.03204443
-2.48275001,0.13760800,0.05401776,0.04440443
-2.48270001,0.13776050,0.05584887,0.06591998
-2.48265001,0.13757740,0.08346812,0.04806665
-2.48260001,0.13766900,0.09201331,0.02273629
-2.48255001,0.13773000,0.07110813,0.04806665
-2.48250001,0.13766900,0.07965331,0.03204443
-2.48245001,0.13763850,0.06927702,0.04623554
-2.48240001,0.13773000,0.07293924,0.04623554
-2.48235001,0.13773000,0.05645924,0.05294961
-2.48230001,0.13763850,0.10605180,0.08148442
-2.48225001,0.13785210,0.05523850,0.04562517
-2.48220001,0.13779110,0.05584887,0.03875851
-2.48215001,0.13776050,0.06317332,0.05798517
-2.48210001,0.13785210,0.08835109,0.04318369
-2.48205001,0.13791310,0.07293924,0.07278664
-2.48200001,0.13788260,0.07965331,0.05676443
-2.48195001,0.13785210,0.06500442,0.03631703
-2.48190001,0.13788260,0.08224738,0.05172887
-2.48185001,0.13785210,0.04898221,0.04989776
-2.48180001,0.13788260,0.04776147,0.07217628
-2.48175001,0.13803520,0.06683554,0.03631703
-2.48170001,0.13797420,0.07782220,0.03936888
-2.48165001,0.13794370,0.06317332,0.04501480
-2.48160001,0.13797420,0.08651997,0.04318369
-2.48155001,0.13812680,0.05767998,0.04318369
-2.48150001,0.13806570,0.08163701,0.05294961
-2.48145001,0.13794370,0.06805628,0.03265481
-2.48140001,0.13812680,0.08651997,0.05172887
-2.48135001,0.13806570,0.06988738,0.05859554
-2.48130001,0.13806570,0.06927702,0.05050813
-2.48125001,0.13800470,0.07049776,0.03021332
-2.48120001,0.13800470,0.04715110,0.04074221
-2.48115001,0.13800470,0.10300000,0.04318369
-2.48110001,0.13812680,0.05767998,0.05859554
-2.48105001,0.13812680,0.09628589,0.07644887
-2.48100001,0.13791310,0.07965331,0.07339702
-2.48095001,0.13797420,0.06256294,0.05493332
-2.48090001,0.13812680,0.05829035,0.05615406
-2.48085001,0.13806570,0.06073184,0.05233924
-2.48080001,0.13803520,0.07599109,0.03875851
-2.48075001,0.13806570,0.06378368,0.05676443
-2.48070001,0.13809630,0.08163701,0.03631703
-2.48065001,0.13812680,0.08407849,0.08392590
-2.48060001,0.13821830,0.08224738,0.07034516
-2.48055001,0.13815730,0.06805628,0.06225776
-2.48050001,0.13806570,0.08285775,0.04501480
-2.48045001,0.13834040,0.05829035,0.04684591
-2.48040001,0.13830990,0.09140293,0.05920591
-2.48035001,0.13818780,0.04776147,0.05432295
-2.48030001,0.13815730,0.07599109,0.02212592
-2.48025001,0.13837090,0.05325480,0.04867702
-2.48020001,0.13830990,0.05401776,0.07278664
-2.48015001,0.13821830,0.08407849,0.04806665
-2.48010001,0.13830990,0.07232887,0.06347850
-2.48005001,0.13821830,0.06744590,0.02899258
-2.48000001,0.13809630,0.06500442,0.02716147
-2.47995001,0.13815730,0.08285775,0.04806665
-2.47990001,0.13815730,0.06378368,0.04684591
-2.47985001,0.13797420,0.05890072,0.05050813
-2.47980001,0.13797420,0.06683554,0.04684591
-2.47975001,0.13803520,0.07904294,0.07827998
-2.47970001,0.13794370,0.06500442,0.04684591
-2.47965001,0.13785210,0.07293924,0.04867702
-2.47960001,0.13791310,0.06073184,0.04684591
-2.47955001,0.13788260,0.06805628,0.01846370
-2.47950001,0.13773000,0.10422070,0.03448591
-2.47945001,0.13773000,0.08713035,0.04989776
-2.47940001,0.13773000,0.05462813,0.03448591
-2.47935001,0.13760800,0.10544150,0.07339702
-2.47930001,0.13766900,0.08468886,0.02395703
-2.47925001,0.13763850,0.06256294,0.02029481
-2.47920001,0.13751640,0.09079257,0.04806665
-2.47915001,0.13754690,0.06622516,0.06347850
-2.47910001,0.13757740,0.07843257,0.02456740
-2.47905001,0.13745540,0.05401776,0.04562517
-2.47900001,0.13733330,0.07965331,0.08209479
-2.47895001,0.13739430,0.07721183,0.05676443
-2.47890001,0.13739430,0.06988738,0.03997925
-2.47885001,0.13721120,0.07049776,0.06103702
-2.47880001,0.13736380,0.06378368,0.04501480
-2.47875001,0.13727230,0.06378368,0.04318369
-2.47870001,0.13711970,0.06012146,0.02578814
-2.47865001,0.13715020,0.05401776,0.04867702
-2.47860001,0.13724170,0.03921628,0.04989776
-2.47855001,0.13711970,0.06866664,0.06530961
-2.47850001,0.13690600,0.09689627,0.07034516
-2.47845001,0.13696710,0.06866664,0.04440443
-2.47840001,0.13702810,0.06927702,0.04135258
-2.47835001,0.13684500,0.07293924,0.05798517
-2.47830001,0.13684500,0.05523850,0.04379406
-2.47825001,0.13681450,0.06805628,0.06103702
-2.47820001,0.13663140,0.08163701,0.04257332
-2.47815001,0.13675340,0.06256294,0.04806665
-2.47810001,0.13666190,0.07354961,0.01907407
-2.47805001,0.13647880,0.02945036,0.04501480
-2.47800001,0.13650930,0.09567553,0.06042665
-2.47795001,0.13666190,0.07110813,0.04745628
