Time,Channel A,Channel B,Channel C
(s),(V),(V),(V)

-2.50010001,0.14465770,0.06561480,3.14539000
-2.50005001,0.14481030,0.06317332,3.18002900
-2.50000001,0.14481030,0.04409925,3.17255200
-2.49995001,0.14471880,0.08835109,3.17194100
-2.49990001,0.14477980,0.04776147,3.18811600
-2.49985001,0.14499340,0.07049776,3.17514600
-2.49980001,0.14493240,0.06195258,3.17880800
-2.49975001,0.14484090,0.09506515,3.19238900
-2.49970001,0.14484090,0.05401776,3.16950000
-2.49965001,0.14493240,0.05462813,3.16644800
-2.49960001,0.14484090,0.08102664,3.21146300
-2.49955001,0.14499340,0.06683554,3.16644800
-2.49950001,0.14496290,0.07538072,3.16950000
-2.49945001,0.14511550,0.08102664,3.19544100
-2.49940001,0.14517650,0.04776147,3.18308000
-2.49935001,0.14523760,0.07782220,3.18369100
-2.49930001,0.14523760,0.06622516,3.21207300
-2.49925001,0.14517650,0.08041627,3.16400600
-2.49920001,0.14535970,0.06439406,3.18002900
-2.49915001,0.14532910,0.08224738,3.17758700
-2.49910001,0.14526810,0.07171850,3.17819800
-2.49905001,0.14535970,0.07843257,3.14600100
-2.49900001,0.14539020,0.05645924,3.16827900
-2.49895001,0.14523760,0.07171850,3.16461700
-2.49890001,0.14529860,0.06439406,3.17697700
-2.49885001,0.14532910,0.08224738,3.16156500
-2.49880001,0.14529860,0.05890072,3.18308000
-2.49875001,0.14529860,0.06439406,3.18186000
-2.49870001,0.14535970,0.06317332,3.16644800
-2.49865001,0.14523760,0.07049776,3.18552200
-2.49860001,0.14523760,0.06012146,3.17941800
-2.49855001,0.14539020,0.07904294,3.16827900
-2.49850001,0.14526810,0.06744590,3.17758700
-2.49845001,0.14517650,0.06866664,3.18124900
-2.49840001,0.14542070,0.08957183,3.13684500
-2.49835001,0.14542070,0.08835109,3.17316200
-2.49830001,0.14517650,0.04715110,3.17697700
-2.49825001,0.14520710,0.04776147,3.17941800
-2.49820001,0.14529860,0.06256294,3.17514600
-2.49815001,0.14542070,0.07721183,3.19727200
-2.49810001,0.14523760,0.08285775,3.20780100
-2.49805001,0.14526810,0.06012146,3.16644800
-2.49800001,0.14526810,0.05523850,3.16705800
-2.49795001,0.14526810,0.08957183,3.17133100
-2.49790001,0.14539020,0.04898221,3.16156500
-2.49785001,0.14529860,0.08285775,3.21146300
-2.49780001,0.14517650,0.07782220,3.17880800
-2.49775001,0.14520710,0.05081332,3.17758700
-2.49770001,0.14535970,0.06317332,3.18674300
-2.49765001,0.14523760,0.06256294,3.18308000
-2.49760001,0.14508500,0.04837184,3.18186000
-2.49755001,0.14526810,0.06256294,3.18491200
-2.49750001,0.14523760,0.07538072,3.18247000
-2.49745001,0.14517650,0.07843257,3.17194100
-2.49740001,0.14517650,0.06805628,3.17697700
-2.49735001,0.14511550,0.03433332,3.15836000
-2.49730001,0.14511550,0.06378368,3.19299900
-2.49725001,0.14520710,0.07110813,3.16766900
-2.49720001,0.14532910,0.05401776,3.18002900
-2.49715001,0.14511550,0.08163701,3.19605100
-2.49710001,0.14511550,0.05081332,3.16461700
-2.49705001,0.14523760,0.03982665,3.17011000
-2.49700001,0.14523760,0.08346812,3.18308000
-2.49695001,0.14517650,0.09689627,3.16583800
-2.49690001,0.14526810,0.05142369,3.19177800
-2.49685001,0.14529860,0.04531999,3.20230700
-2.49680001,0.14517650,0.09262367,3.18186000
-2.49675001,0.14523760,0.06744590,3.17453500
-2.49670001,0.14535970,0.07293924,3.18186000
-2.49665001,0.14526810,0.05203406,3.17133100
-2.49660001,0.14526810,0.06500442,3.17133100
-2.49655001,0.14532910,0.06744590,3.15775000
-2.49650001,0.14532910,0.07171850,3.17575600
-2.49645001,0.14520710,0.07843257,3.18063900
-2.49640001,0.14542070,0.06012146,3.16889000
-2.49635001,0.14539020,0.03677480,3.19422000
-2.49630001,0.14539020,0.07904294,3.18369100
-2.49625001,0.14548170,0.05767998,3.15469800
-2.49620001,0.14548170,0.03250221,3.15836000
-2.49615001,0.14548170,0.08529923,3.19605100
-2.49610001,0.14548170,0.06256294,3.17636700
-2.49605001,0.14566480,0.07110813,3.15897100
-2.49600001,0.14557330,0.05890072,3.18430100
-2.49595001,0.14554280,0.08224738,3.20230700
-2.49590001,0.14563430,0.07232887,3.19299900
-2.49585001,0.14560380,0.05462813,3.18063900
-2.49580001,0.14557330,0.08713035,3.20535900
-2.49575001,0.14563430,0.05142369,3.17880800
-2.49570001,0.14569540,0.06988738,3.16889000
-2.49565001,0.14566480,0.10177920,3.18872600
-2.49560001,0.14560380,0.06866664,3.16278600
-2.49555001,0.14575640,0.04776147,3.16217500
-2.49550001,0.14554280,0.04104739,3.20413800
-2.49545001,0.14560380,0.05203406,3.17194100
-2.49540001,0.14578690,0.06500442,3.19849200
-2.49535001,0.14575640,0.06622516,3.15897100
-2.49530001,0.14560380,0.06988738,3.19422000
-2.49525001,0.14572590,0.04715110,3.17316200
-2.49520001,0.14587850,0.07477035,3.16400600
-2.49515001,0.14575640,0.05584887,3.19483000
-2.49510001,0.14578690,0.04715110,3.16522700
-2.49505001,0.14578690,0.08163701,3.17758700
-2.49500001,0.14584800,0.07660146,3.18308000
-2.49495001,0.14584800,0.05645924,3.17636700
-2.49490001,0.14581740,0.06866664,3.18491200
-2.49485001,0.14560380,0.04348888,3.18124900
-2.49480001,0.14563430,0.07477035,3.17880800
-2.49475001,0.14590900,0.02945036,3.16766900
-2.49470001,0.14578690,0.05523850,3.17880800
-2.49465001,0.14557330,0.08285775,3.20841100
-2.49460001,0.14566480,0.07843257,3.15530900
-2.49455001,0.14581740,0.07782220,3.18369100
-2.49450001,0.14581740,0.06988738,3.17514600
-2.49445001,0.14578690,0.04226813,3.17453500
-2.49440001,0.14587850,0.06195258,3.18430100
-2.49435001,0.14593950,0.07171850,3.16400600
-2.49430001,0.14600050,0.05767998,3.20032400
-2.49425001,0.14609210,0.04654073,3.16766900
-2.49420001,0.14593950,0.07415998,3.18430100
-2.49415001,0.14597000,0.06012146,3.15836000
-2.49410001,0.14603110,0.12085330,3.19422000
-2.49405001,0.14612260,0.05203406,3.17377200
-2.49400001,0.14600050,0.06988738,3.19910300
-2.49395001,0.14600050,0.07171850,3.18872600
-2.49390001,0.14606160,0.10177920,3.21268300
-2.49385001,0.14603110,0.07415998,3.19238900
-2.49380001,0.14609210,0.06500442,3.17941800
-2.49375001,0.14618370,0.04409925,3.15408800
-2.49370001,0.14609210,0.06439406,3.15652900
-2.49365001,0.14609210,0.07965331,3.18552200
-2.49360001,0.14627520,0.05081332,3.17880800
-2.49355001,0.14627520,0.06134220,3.16461700
-2.49350001,0.14621420,0.08285775,3.16583800
-2.49345001,0.14627520,0.08224738,3.21207300
-2.49340001,0.14636680,0.06134220,3.18247000
-2.49335001,0.14627520,0.06744590,3.17575600
-2.49330001,0.14633630,0.06805628,3.16339600
-2.49325001,0.14651940,0.07171850,3.16766900
-2.49320001,0.14648880,0.06561480,3.18247000
-2.49315001,0.14639730,0.07599109,3.19666100
-2.49310001,0.14648880,0.06683554,3.18872600
-2.49305001,0.14651940,0.03006073,3.18430100
-2.49300001,0.14651940,0.09872738,3.18994700
-2.49295001,0.14658040,0.06256294,3.19422000
-2.49290001,0.14661090,0.09018219,3.18674300
-2.49285001,0.14658040,0.04409925,3.15897100
-2.49280001,0.14661090,0.07538072,3.19910300
-2.49275001,0.14670250,0.07232887,3.18369100
-2.49270001,0.14664140,0.06805628,3.15408800
-2.49265001,0.14664140,0.08041627,3.18247000
-2.49260001,0.14682460,0.06500442,3.16461700
-2.49255001,0.14673300,0.06866664,3.16950000
-2.49250001,0.14676350,0.07049776,3.17316200
-2.49245001,0.14688560,0.07599109,3.17194100
-2.49240001,0.14688560,0.08407849,3.18613200
-2.49235001,0.14679400,0.08651997,3.17636700
-2.49230001,0.14700770,0.06378368,3.16583800
-2.49225001,0.14709920,0.06683554,3.16950000
-2.49220001,0.14694660,0.05081332,3.17880800
-2.49215001,0.14697710,0.06134220,3.18124900
-2.49210001,0.14709920,0.03555406,3.18872600
-2.49205001,0.14709920,0.07110813,3.17072100
-2.49200001,0.14706870,0.08285775,3.19971300
-2.49195001,0.14712970,0.03067110,3.14600100
-2.49190001,0.14703820,0.07477035,3.16019200
-2.49185001,0.14709920,0.09201331,3.18735300
-2.49180001,0.14725180,0.03433332,3.16766900
-2.49175001,0.14722130,0.07599109,3.16019200
-2.49170001,0.14700770,0.05203406,3.19422000
-2.49165001,0.14709920,0.06561480,3.17133100
-2.49160001,0.14725180,0.05462813,3.18674300
-2.49155001,0.14725180,0.05951110,3.18063900
-2.49150001,0.14706870,0.09079257,3.20093400
-2.49145001,0.14719080,0.05523850,3.16095500
-2.49140001,0.14725180,0.05584887,3.15286700
-2.49135001,0.14728230,0.10742520,3.17133100
-2.49130001,0.14734340,0.06561480,3.20291800
-2.49125001,0.14728230,0.05020295,3.17377200
-2.49120001,0.14725180,0.08285775,3.18308000
-2.49115001,0.14740440,0.04837184,3.16156500
-2.49110001,0.14758750,0.06195258,3.15958100
-2.49105001,0.14740440,0.05523850,3.18247000
-2.49100001,0.14734340,0.02563555,3.17133100
-2.49095001,0.14746540,0.06988738,3.17758700
-2.49090001,0.14743490,0.07660146,3.18063900
-2.49085001,0.14740440,0.06439406,3.17255200
-2.49080001,0.14740440,0.04654073,3.18735300
-2.49075001,0.14743490,0.05951110,3.16705800
-2.49070001,0.14740440,0.05325480,3.16766900
-2.49065001,0.14746540,0.09994812,3.18369100
-2.49060001,0.14749600,0.05401776,3.16705800
-2.49055001,0.14737390,0.04165776,3.17636700
-2.49050001,0.14746540,0.08468886,3.19299900
-2.49045001,0.14764850,0.07599109,3.15225700
-2.49040001,0.14761800,0.05890072,3.19177800
-2.49035001,0.14752650,0.07232887,3.17514600
-2.49030001,0.14758750,0.06439406,3.17072100
-2.49025001,0.14767910,0.05890072,3.19483000
-2.49020001,0.14755700,0.08285775,3.17453500
-2.49015001,0.14770960,0.05203406,3.15897100
-2.49010001,0.14767910,0.04287850,3.17133100
-2.49005001,0.14767910,0.04409925,3.15836000
-2.49000001,0.14764850,0.07232887,3.20719000
-2.48995001,0.14774010,0.07843257,3.15286700
-2.48990001,0.14770960,0.08713035,3.16522700
-2.48985001,0.14770960,0.07965331,3.21649800
-2.48980001,0.14789270,0.04898221,3.17636700
-2.48975001,0.14774010,0.05462813,3.18308000
-2.48970001,0.14767910,0.09384441,3.18369100
-2.48965001,0.14774010,0.04898221,3.17697700
-2.48960001,0.14777060,0.04409925,3.16278600
-2.48955001,0.14774010,0.07293924,3.15958100
-2.48950001,0.14770960,0.07110813,3.18247000
-2.48945001,0.14786220,0.09079257,3.17636700
-2.48940001,0.14770960,0.06622516,3.15164600
-2.48935001,0.14770960,0.08224738,3.15958100
-2.48930001,0.14774010,0.08468886,3.17880800
-2.48925001,0.14774010,0.05462813,3.16522700
-2.48920001,0.14767910,0.07110813,3.14920500
-2.48915001,0.14764850,0.04959258,3.20169700
-2.48910001,0.14780110,0.05951110,3.15775000
-2.48905001,0.14767910,0.09384441,3.18124900
-2.48900001,0.14767910,0.04165776,3.16766900
-2.48895001,0.14770960,0.04837184,3.16644800
-2.48890001,0.14755700,0.08407849,3.18735300
-2.48885001,0.14764850,0.06683554,3.18247000
-2.48880001,0.14764850,0.04593036,3.17758700
-2.48875001,0.14752650,0.08713035,3.17316200
-2.48870001,0.14746540,0.09079257,3.17575600
-2.48865001,0.14767910,0.06866664,3.15897100
-2.48860001,0.14774010,0.05401776,3.16827900
-2.48855001,0.14749600,0.07599109,3.16400600
-2.48850001,0.14755700,0.04043702,3.16889000
-2.48845001,0.14761800,0.04409925,3.19666100
-2.48840001,0.14770960,0.07110813,3.15836000
-2.48835001,0.14770960,0.05401776,3.16339600
-2.48830001,0.14774010,0.05829035,3.15469800
-2.48825001,0.14764850,0.08835109,3.17941800
-2.48820001,0.14770960,0.07599109,3.19116800
-2.48815001,0.14761800,0.06134220,3.20902100
-2.48810001,0.14749600,0.09689627,3.18613200
-2.48805001,0.14737390,0.07477035,3.19299900
-2.48800001,0.14743490,0.08407849,3.17880800
-2.48795001,0.14743490,0.03860591,3.17819800
-2.48790001,0.14725180,0.05081332,3.17011000
-2.48785001,0.14716020,0.06927702,3.19299900
-2.48780001,0.14719080,0.05951110,3.16400600
-2.48775001,0.14722130,0.06927702,3.17636700
-2.48770001,0.14716020,0.08651997,3.19422000
-2.48765001,0.14719080,0.04165776,3.17880800
-2.48760001,0.14703820,0.07049776,3.17514600
-2.48755001,0.14706870,0.07354961,3.18994700
-2.48750001,0.14694660,0.04409925,3.18872600
-2.48745001,0.14697710,0.09628589,3.18430100
-2.48740001,0.14667200,0.07049776,3.18811600
-2.48735001,0.14676350,0.04776147,3.19177800
-2.48730001,0.14667200,0.06073184,3.19849200
-2.48725001,0.14645830,0.05264443,3.15347800
-2.48720001,0.14642780,0.04348888,3.15225700
-2.48715001,0.14639730,0.05584887,3.17758700
-2.48710001,0.14642780,0.06988738,3.16827900
-2.48705001,0.14621420,0.08713035,3.20780100
-2.48700001,0.14627520,0.04715110,3.16461700
-2.48695001,0.14624470,0.05203406,3.16583800
-2.48690001,0.14618370,0.06256294,3.19177800
-2.48685001,0.14618370,0.05523850,3.17758700
-2.48680001,0.14624470,0.09201331,3.17819800
-2.48675001,0.14606160,0.04226813,3.17194100
-2.48670001,0.14609210,0.04043702,3.19971300
-2.48665001,0.14587850,0.03189184,3.19544100
-2.48660001,0.14581740,0.06256294,3.16278600
-2.48655001,0.14572590,0.07904294,3.17880800
-2.48650001,0.14572590,0.05401776,3.18063900
-2.48645001,0.14575640,0.06561480,3.15836000
-2.48640001,0.14554280,0.07660146,3.21207300
-2.48635001,0.14563430,0.03921628,3.16889000
-2.48630001,0.14554280,0.07049776,3.19727200
-2.48625001,0.14545120,0.08896145,3.19360900
-2.48620001,0.14545120,0.04226813,3.18063900
-2.48615001,0.14554280,0.06256294,3.15836000
-2.48610001,0.14535970,0.07660146,3.19299900
-2.48605001,0.14535970,0.07599109,3.18872600
-2.48600001,0.14535970,0.05706961,3.17697700
-2.48595001,0.14526810,0.06317332,3.15652900
-2.48590001,0.14517650,0.05523850,3.18247000
-2.48585001,0.14532910,0.05706961,3.18002900
-2.48580001,0.14532910,0.05081332,3.18430100
-2.48575001,0.14514600,0.07110813,3.19849200
-2.48570001,0.14526810,0.08468886,3.19910300
-2.48565001,0.14526810,0.03372295,3.15286700
-2.48560001,0.14514600,0.05951110,3.17636700
-2.48555001,0.14517650,0.09994812,3.20963200
-2.48550001,0.14526810,0.06561480,3.15042600
-2.48545001,0.14529860,0.05584887,3.16400600
-2.48540001,0.14517650,0.10422070,3.19605100
-2.48535001,0.14511550,0.07049776,3.16583800
-2.48530001,0.14520710,0.05523850,3.18063900
-2.48525001,0.14514600,0.07293924,3.19605100
-2.48520001,0.14523760,0.03433332,3.16827900
-2.48515001,0.14511550,0.06561480,3.18613200
-2.48510001,0.14493240,0.07721183,3.17316200
-2.48505001,0.14505450,0.06073184,3.17575600
-2.48500001,0.14523760,0.07477035,3.15347800
-2.48495001,0.14514600,0.08346812,3.18308000
-2.48490001,0.14493240,0.07599109,3.17514600
-2.48485001,0.14508500,0.05951110,3.18735300
-2.48480001,0.14520710,0.06317332,3.19116800
-2.48475001,0.14508500,0.08468886,3.18994700
-2.48470001,0.14508500,0.05767998,3.16339600
-2.48465001,0.14505450,0.07110813,3.18994700
-2.48460001,0.14505450,0.10116890,3.16095500
-2.48455001,0.14511550,0.06988738,3.17697700
-2.48450001,0.14508500,0.07293924,3.20535900
-2.48445001,0.14487140,0.05706961,3.17377200
-2.48440001,0.14484090,0.07477035,3.16278600
-2.48435001,0.14505450,0.05890072,3.16705800
-2.48430001,0.14508500,0.05020295,3.14798400
-2.48425001,0.14484090,0.07843257,3.17880800
-2.48420001,0.14481030,0.07354961,3.16278600
-2.48415001,0.14487140,0.06622516,3.15347800
-2.48410001,0.14477980,0.08590961,3.20596900
-2.48405001,0.14484090,0.06500442,3.16827900
-2.48400001,0.14477980,0.06744590,3.13989700
-2.48395001,0.14471880,0.06683554,3.15408800
-2.48390001,0.14474930,0.05584887,3.18247000
-2.48385001,0.14474930,0.05767998,3.16705800
-2.48380001,0.14465770,0.08407849,3.15897100
-2.48375001,0.14453570,0.08346812,3.17072100
-2.48370001,0.14462720,0.06073184,3.17819800
-2.48365001,0.14465770,0.07171850,3.18430100
-2.48360001,0.14441360,0.06683554,3.17575600
-2.48355001,0.14450510,0.05523850,3.16827900
-2.48350001,0.14444410,0.06866664,3.14859500
-2.48345001,0.14447460,0.05951110,3.16889000
-2.48340001,0.14447460,0.06195258,3.17072100
-2.48335001,0.14447460,0.03494369,3.14798400
-2.48330001,0.14441360,0.07843257,3.18247000
-2.48325001,0.14426100,0.08896145,3.19605100
-2.48320001,0.14438310,0.06744590,3.17072100
-2.48315001,0.14429150,0.07538072,3.18308000
-2.48310001,0.14426100,0.05142369,3.19238900
-2.48305001,0.14429150,0.05264443,3.14981500
-2.48300001,0.14429150,0.08041627,3.16889000
-2.48295001,0.14435260,0.06866664,3.17133100
-2.48290001,0.14441360,0.06744590,3.16950000
-2.48285001,0.14441360,0.08102664,3.17011000
-2.48280001,0.14429150,0.07721183,3.15042600
-2.48275001,0.14447460,0.06134220,3.16019200
-2.48270001,0.14453570,0.05890072,3.16217500
-2.48265001,0.14447460,0.06561480,3.15652900
-2.48260001,0.14432200,0.05584887,3.19299900
-2.48255001,0.14441360,0.04470962,3.16461700
-2.48250001,0.14456620,0.04898221,3.20780100
-2.48245001,0.14438310,0.06622516,3.19299900
-2.48240001,0.14444410,0.04898221,3.17453500
-2.48235001,0.14444410,0.06256294,3.19971300
-2.48230001,0.14459670,0.05584887,3.19116800
-2.48225001,0.14465770,0.07904294,3.18933700
-2.48220001,0.14465770,0.04470962,3.17011000
-2.48215001,0.14465770,0.05951110,3.18735300
-2.48210001,0.14468820,0.06866664,3.21146300
-2.48205001,0.14487140,0.06012146,3.19422000
-2.48200001,0.14481030,0.06317332,3.17575600
-2.48195001,0.14459670,0.05203406,3.18247000
-2.48190001,0.14468820,0.05020295,3.17819800
-2.48185001,0.14484090,0.05020295,3.16705800
-2.48180001,0.14484090,0.08774071,3.20474900
-2.48175001,0.14465770,0.07477035,3.16095500
-2.48170001,0.14462720,0.06195258,3.19544100
-2.48165001,0.14459670,0.06256294,3.16827900
-2.48160001,0.14459670,0.08285775,3.15958100
-2.48155001,0.14462720,0.08285775,3.16583800
-2.48150001,0.14441360,0.05264443,3.20230700
-2.48145001,0.14456620,0.08529923,3.22260200
-2.48140001,0.14471880,0.05462813,3.21085200
-2.48135001,0.14474930,0.04593036,3.20093400
-2.48130001,0.14456620,0.08163701,3.19116800
-2.48125001,0.14456620,0.05890072,3.19727200
-2.48120001,0.14477980,0.05142369,3.16583800
-2.48115001,0.14468820,0.06256294,3.18735300
-2.48110001,0.14459670,0.06805628,3.18735300
-2.48105001,0.14456620,0.05462813,3.15591900
-2.48100001,0.14456620,0.06744590,3.14233800
-2.48095001,0.14453570,0.08285775,3.18811600
-2.48090001,0.14462720,0.07415998,3.16522700
-2.48085001,0.14462720,0.06561480,3.19238900
-2.48080001,0.14441360,0.06805628,3.17255200
-2.48075001,0.14456620,0.07477035,3.17697700
-2.48070001,0.14462720,0.06500442,3.19666100
-2.48065001,0.14453570,0.06439406,3.18186000
-2.48060001,0.14450510,0.07171850,3.17377200
-2.48055001,0.14453570,0.06317332,3.18872600
-2.48050001,0.14462720,0.04715110,3.16339600
-2.48045001,0.14447460,0.09018219,3.21451400
-2.48040001,0.14459670,0.06073184,3.18933700
-2.48035001,0.14462720,0.05462813,3.17819800
-2.48030001,0.14453570,0.07110813,3.20169700
-2.48025001,0.14468820,0.05401776,3.14539000
-2.48020001,0.14465770,0.07660146,3.18124900
-2.48015001,0.14453570,0.08163701,3.19360900
-2.48010001,0.14456620,0.08285775,3.18308000
-2.48005001,0.14468820,0.08774071,3.18674300
-2.48000001,0.14459670,0.05951110,3.16705800
-2.47995001,0.14456620,0.06988738,3.18994700
-2.47990001,0.14459670,0.07843257,3.18613200
-2.47985001,0.14465770,0.05142369,3.16583800
-2.47980001,0.14447460,0.08835109,3.15775000
-2.47975001,0.14465770,0.05584887,3.17514600
-2.47970001,0.14465770,0.06500442,3.17575600
-2.47965001,0.14459670,0.07232887,3.18430100
-2.47960001,0.14462720,0.05401776,3.18369100
-2.47955001,0.14465770,0.05951110,3.16339600
-2.47950001,0.14450510,0.08041627,3.19666100
-2.47945001,0.14456620,0.08407849,3.17880800
-2.47940001,0.14465770,0.05584887,3.18308000
-2.47935001,0.14462720,0.07049776,3.14539000
-2.47930001,0.14456620,0.06500442,3.18308000
-2.47925001,0.14459670,0.04226813,3.18124900
-2.47920001,0.14468820,0.04470962,3.16950000
-2.47915001,0.14459670,0.07354961,3.19299900
-2.47910001,0.14474930,0.03860591,3.16095500
-2.47905001,0.14468820,0.05325480,3.16705800
-2.47900001,0.14456620,0.07538072,3.18124900
-2.47895001,0.14459670,0.09384441,3.19177800
-2.47890001,0.14477980,0.06988738,3.18933700
-2.47885001,0.14468820,0.08835109,3.18872600
-2.47880001,0.14453570,0.07782220,3.19971300
-2.47875001,0.14462720,0.06927702,3.14722100
-2.47870001,0.14468820,0.06256294,3.19849200
-2.47865001,0.14462720,0.07415998,3.16705800
-2.47860001,0.14465770,0.05523850,3.16583800
-2.47855001,0.14453570,0.07415998,3.17819800
-2.47850001,0.14450510,0.06378368,3.17194100
-2.47845001,0.14462720,0.06500442,3.17255200
-2.47840001,0.14465770,0.06866664,3.17316200
-2.47835001,0.14447460,0.04409925,3.16400600
-2.47830001,0.14432200,0.09201331,3.16339600
-2.47825001,0.14462720,0.04715110,3.15347800
-2.47820001,0.14462720,0.05264443,3.17255200
-2.47815001,0.14450510,0.07965331,3.20093400
-2.47810001,0.14453570,0.03616443,3.17133100
-2.47805001,0.14456620,0.05401776,3.17880800
-2.47800001,0.14465770,0.08468886,3.17453500
-2.47795001,0.14471880,0.05264443,3.16156500
