Time,Channel A,Channel B,Channel C
(s),(V),(V),(V)

-2.50010001,0.15149390,3.20917400,0.05737480
-2.50005001,0.15115820,3.22458600,0.05355999
-2.50000001,0.15109710,3.21176800,0.08087405
-2.49995001,0.15134130,3.22824800,0.05798517
-2.49990001,0.15137180,3.22153400,0.05859554
-2.49985001,0.15134130,3.18659000,0.05798517
-2.49980001,0.15121920,-0.18112740,-0.21805480
-2.49975001,0.15131080,3.17484000,0.04928739
-2.49970001,0.15109710,3.19391500,0.04135258
-2.49965001,0.15103610,3.22031300,0.07461776
-2.49960001,0.15112770,3.20551200,0.06790368
-2.49955001,0.15100560,3.19574600,0.05676443
-2.49950001,0.15091400,3.23618300,0.08514664
-2.49945001,0.15079200,3.20795300,0.05294961
-2.49940001,0.15070040,3.23435200,0.06591998
-2.49935001,0.15042570,3.21115800,0.07705924
-2.49930001,0.15042570,3.22214400,0.08392590
-2.49925001,0.15042570,0.09323405,0.07461776
-2.49920001,0.15048680,3.20184900,0.08270516
-2.49915001,0.15045620,3.20917400,0.07217628
-2.49910001,0.15048680,3.18598000,0.04562517
-2.49905001,0.15045620,3.20993700,0.06530961
-2.49900001,0.15030370,3.22946900,0.07217628
-2.49895001,0.15042570,3.17606100,0.04806665
-2.49890001,0.15045620,3.21543000,0.06042665
-2.49885001,0.15027310,3.22336500,0.06469924
-2.49880001,0.15030370,3.20993700,0.05111850
-2.49875001,0.15033420,3.21359900,0.04318369
-2.49870001,0.15033420,3.21298900,0.08087405
-2.49865001,0.15039520,3.21420900,0.07583850
-2.49860001,0.15057830,0.10116890,0.05050813
-2.49855001,0.15048680,3.17789200,0.06103702
-2.49850001,0.15018160,3.20612200,0.07400738
-2.49845001,0.15024260,3.22702700,0.07400738
-2.49840001,0.15021210,3.20368100,0.07278664
-2.49835001,0.15018160,3.19391500,0.05798517
-2.49830001,0.15018160,3.20429100,0.04257332
-2.49825001,0.15015110,3.22458600,0.05111850
-2.49820001,0.15009000,3.20612200,0.06851406
-2.49815001,0.15012050,3.21298900,0.05920591
-2.49810001,0.15021210,3.19330400,0.03265481
-2.49805001,0.15005950,3.23313100,0.06530961
-2.49800001,0.15009000,3.23435200,0.05493332
-2.49795001,0.15027310,3.19269400,0.04867702
-2.49790001,0.15021210,3.19940800,0.06912442
-2.49785001,0.14999850,3.23496200,0.08209479
-2.49780001,0.14996800,3.21359900,0.03021332
-2.49775001,0.15009000,3.21298900,0.07339702
-2.49770001,0.15009000,3.20856400,0.03265481
-2.49765001,0.15009000,0.07415998,0.04806665
-2.49760001,0.14999850,0.06622516,0.06042665
-2.49755001,0.14996800,0.08529923,0.06225776
-2.49750001,0.15015110,0.08407849,0.03936888
-2.49745001,0.15030370,0.07293924,0.06973480
-2.49740001,0.15024260,0.06439406,0.05920591
-2.49735001,0.14996800,0.10483110,0.07583850
-2.49730001,0.14999850,0.07660146,0.05737480
-2.49725001,0.15002900,0.06622516,0.05981628
-2.49720001,0.14975430,0.08468886,0.07644887
-2.49715001,0.14972380,0.08041627,0.06103702
-2.49710001,0.14975430,0.06012146,0.03753777
-2.49705001,0.14975430,0.06073184,0.06790368
-2.49700001,0.14969330,0.08407849,0.07339702
-2.49695001,0.14972380,0.06134220,0.05920591
-2.49690001,0.14966280,0.08774071,0.04440443
-2.49685001,0.14960170,0.08957183,0.08697775
-2.49680001,0.14987640,0.05890072,0.05432295
-2.49675001,0.14981540,0.10483110,0.07278664
-2.49670001,0.14972380,0.10803550,0.08880886
-2.49665001,0.14969330,0.09201331,0.05798517
-2.49660001,0.14978480,0.08957183,0.08575701
-2.49655001,0.14975430,3.19635600,0.06286813
-2.49650001,0.14969330,3.20123900,0.06790368
-2.49645001,0.14975430,3.21970300,0.06469924
-2.49640001,0.14966280,0.09079257,0.07889035
-2.49635001,0.14960170,3.20001800,0.04135258
-2.49630001,0.14966280,3.18842100,0.05050813
-2.49625001,0.14966280,3.23313100,0.09186071
-2.49620001,0.14954070,3.21420900,0.04989776
-2.49615001,0.14981540,3.19940800,0.06042665
-2.49610001,0.14975430,3.21298900,0.07889035
-2.49605001,0.14972380,3.19025200,0.08148442
-2.49600001,0.14966280,3.22031300,0.06530961
-2.49595001,0.14981540,3.20001800,0.07766961
-2.49590001,0.14969330,3.21115800,0.04379406
-2.49585001,0.14969330,3.21787200,0.08011109
-2.49580001,0.14978480,3.18277500,0.04806665
-2.49575001,0.14978480,3.18033400,0.00854518
-2.49570001,0.14975430,3.21665100,0.08514664
-2.49565001,0.14981540,3.22702700,0.05355999
-2.49560001,0.14990690,3.21848200,0.06973480
-2.49555001,0.14984590,3.21543000,0.06912442
-2.49550001,0.15009000,3.20490100,0.05050813
-2.49545001,0.15012050,3.23252100,0.06347850
-2.49540001,0.15015110,3.20993700,0.04684591
-2.49535001,0.15012050,3.15393500,0.02212592
-2.49530001,0.15039520,3.21420900,0.07339702
-2.49525001,0.15033420,3.21726100,0.05737480
-2.49520001,0.15036470,3.22763800,0.07705924
-2.49515001,0.15045620,3.19208400,0.02838221
-2.49510001,0.15045620,3.22336500,0.05981628
-2.49505001,0.15039520,3.20368100,0.06591998
-2.49500001,0.15051730,3.20490100,0.05920591
-2.49495001,0.15066990,3.19879700,0.04379406
-2.49490001,0.15051730,3.21298900,0.10300000
-2.49485001,0.15063940,3.23694600,0.07583850
-2.49480001,0.15085300,3.20123900,0.06286813
-2.49475001,0.15082250,3.20429100,0.03082369
-2.49470001,0.15066990,3.21420900,0.06225776
-2.49465001,0.15073090,3.21848200,0.06973480
-2.49460001,0.15076140,3.18964200,0.03936888
-2.49455001,0.15082250,3.22885800,0.07827998
-2.49450001,0.15082250,0.06988738,0.06912442
-2.49445001,0.15079200,3.21115800,0.05859554
-2.49440001,0.15063940,3.20795300,0.07156590
-2.49435001,0.15076140,3.22031300,0.05432295
-2.49430001,0.15088350,3.20184900,0.04989776
-2.49425001,0.15079200,3.21726100,0.06408887
-2.49420001,0.15088350,3.23755600,0.06286813
-2.49415001,0.15094450,3.20062900,0.03692739
-2.49410001,0.15103610,3.20429100,0.07156590
-2.49405001,0.15094450,3.20612200,0.09369183
-2.49400001,0.15091400,3.19452500,0.05432295
-2.49395001,0.15094450,0.10925630,0.07522812
-2.49390001,0.15088350,3.21420900,0.06790368
-2.49385001,0.15103610,3.18964200,0.06042665
-2.49380001,0.15103610,3.20612200,0.06469924
-2.49375001,0.15100560,3.22702700,0.06286813
-2.49370001,0.15103610,3.22031300,0.07644887
-2.49365001,0.15128030,3.22824800,0.05111850
-2.49360001,0.15121920,3.21482000,0.05432295
-2.49355001,0.15103610,3.22031300,0.08392590
-2.49350001,0.15103610,3.19513500,0.07889035
-2.49345001,0.15100560,3.22580600,0.05111850
-2.49340001,0.15100560,3.21115800,0.07034516
-2.49335001,0.15109710,3.21726100,0.05111850
-2.49330001,0.15106660,3.17728200,0.07156590
-2.49325001,0.15094450,3.20429100,0.07583850
-2.49320001,0.15094450,3.18033400,0.05798517
-2.49315001,0.15112770,3.21176800,0.05737480
-2.49310001,0.15112770,3.20368100,0.04074221
-2.49305001,0.15109710,3.21970300,0.08011109
-2.49300001,0.15112770,3.19208400,0.05050813
-2.49295001,0.15109710,3.15393500,0.02151555
-2.49290001,0.15100560,3.20490100,0.07766961
-2.49285001,0.15094450,3.21665100,0.06347850
-2.49280001,0.15109710,3.20856400,0.06851406
-2.49275001,0.15088350,3.18353800,0.08575701
-2.49270001,0.15103610,3.24488000,0.06530961
-2.49265001,0.15100560,3.21359900,0.05355999
-2.49260001,0.15091400,3.21054700,0.05432295
-2.49255001,0.15103610,3.21848200,0.06530961
-2.49250001,0.15118870,3.18659000,0.06103702
-2.49245001,0.15128030,3.21054700,0.06469924
-2.49240001,0.15106660,3.22519600,0.08209479
-2.49235001,0.15128030,3.19879700,0.04989776
-2.49230001,0.15112770,3.21420900,0.04196295
-2.49225001,0.15094450,3.22885800,0.07522812
-2.49220001,0.15106660,3.19696600,0.03387555
-2.49215001,0.15115820,3.24732200,0.12772000
-2.49210001,0.15106660,3.20993700,0.05355999
-2.49205001,0.15106660,3.23252100,0.05676443
-2.49200001,0.15109710,3.21115800,0.06408887
-2.49195001,0.15109710,3.21298900,0.06042665
-2.49190001,0.15097510,3.24915300,0.06851406
-2.49185001,0.15109710,3.22092300,0.08880886
-2.49180001,0.15115820,3.22092300,0.04074221
-2.49175001,0.15112770,3.18598000,0.05111850
-2.49170001,0.15118870,3.19818700,0.07217628
-2.49165001,0.15131080,3.18964200,0.08392590
-2.49160001,0.15128030,3.20993700,0.07034516
-2.49155001,0.15134130,3.22580600,0.08148442
-2.49150001,0.15143280,0.09018219,0.05493332
-2.49145001,0.15131080,3.23999800,0.07522812
-2.49140001,0.15143280,3.25586700,0.08331553
-2.49135001,0.15161590,3.21543000,0.02456740
-2.49130001,0.15158540,3.21176800,0.06408887
-2.49125001,0.15137180,3.22519600,0.07889035
-2.49120001,0.15161590,3.21420900,0.05233924
-2.49115001,0.15182960,3.19086300,0.03936888
-2.49110001,0.15176860,3.21054700,0.07583850
-2.49105001,0.15176860,3.20184900,0.06225776
-2.49100001,0.15176860,3.19391500,0.04623554
-2.49095001,0.15186010,3.16873700,-0.00869778
-2.49090001,0.15195170,3.20551200,0.09063997
-2.49085001,0.15192110,3.21420900,0.05432295
-2.49080001,0.15182960,3.19025200,0.04257332
-2.49075001,0.15186010,3.23816600,0.08758812
-2.49070001,0.15213480,3.21543000,0.04623554
-2.49065001,0.15225680,3.21359900,0.06851406
-2.49060001,0.15210430,3.20551200,0.08270516
-2.49055001,0.15225680,3.20123900,0.04806665
-2.49050001,0.15234840,3.21237800,0.04806665
-2.49045001,0.15237890,3.21909200,0.06164739
-2.49040001,0.15228740,3.22397500,0.04867702
-2.49035001,0.15228740,3.20429100,0.03448591
-2.49030001,0.15216530,3.21237800,0.04440443
-2.49025001,0.15213480,3.21726100,0.05737480
-2.49020001,0.15219580,3.21970300,0.06103702
-2.49015001,0.15210430,3.20307000,0.04440443
-2.49010001,0.15195170,3.23755600,0.06103702
-2.49005001,0.15207370,3.19330400,0.03692739
-2.49000001,0.15231790,3.19757700,0.06103702
-2.48995001,0.15222630,3.20184900,0.06225776
-2.48990001,0.15228740,3.20612200,0.07583850
-2.48985001,0.15237890,3.20612200,0.06225776
-2.48980001,0.15234840,3.21054700,0.05172887
-2.48975001,0.15231790,3.24427000,0.09445479
-2.48970001,0.15247050,3.18659000,0.04806665
-2.48965001,0.15250100,3.19391500,0.05493332
-2.48960001,0.15234840,3.20993700,0.09506515
-2.48955001,0.15228740,3.19391500,0.06164739
-2.48950001,0.15228740,3.20993700,0.05432295
-2.48945001,0.15216530,0.10422070,0.07217628
-2.48940001,0.15225680,3.20734300,0.06103702
-2.48935001,0.15228740,3.20734300,0.06225776
-2.48930001,0.15234840,3.20551200,0.06973480
-2.48925001,0.15237890,3.21359900,0.07461776
-2.48920001,0.15244000,3.19452500,0.06653035
-2.48915001,0.15240940,3.22031300,0.04379406
-2.48910001,0.15234840,3.27799300,0.09186071
-2.48905001,0.15247050,3.22641700,0.05355999
-2.48900001,0.15256200,3.20490100,0.04989776
-2.48895001,0.15240940,3.23069000,0.05859554
-2.48890001,0.15234840,0.08224738,0.04989776
-2.48885001,0.15231790,3.23252100,0.08758812
-2.48880001,0.15240940,3.20307000,0.04623554
-2.48875001,0.15247050,3.17728200,0.02899258
-2.48870001,0.15265360,3.20307000,0.04562517
-2.48865001,0.15271460,3.21665100,0.07766961
-2.48860001,0.15265360,3.20551200,0.07766961
-2.48855001,0.15271460,3.19147300,0.03326517
-2.48850001,0.15274510,3.19269400,0.06164739
-2.48845001,0.15274510,3.26822700,0.11719110
-2.48840001,0.15283670,3.20734300,0.05981628
-2.48835001,0.15289770,3.18781100,0.07156590
-2.48830001,0.15262310,3.19208400,0.06164739
-2.48825001,0.15262310,3.21848200,0.07278664
-2.48820001,0.15280620,3.18659000,0.04684591
-2.48815001,0.15280620,3.20246000,0.05615406
-2.48810001,0.15268410,3.21543000,0.07461776
-2.48805001,0.15289770,3.21787200,0.07522812
-2.48800001,0.15298930,3.21482000,0.05294961
-2.48795001,0.15298930,3.24121800,0.09628589
-2.48790001,0.15305030,3.22153400,0.05050813
-2.48785001,0.15308090,3.21359900,0.07889035
-2.48780001,0.15298930,3.22153400,0.10238960
-2.48775001,0.15311140,3.20123900,0.06729332
-2.48770001,0.15305030,3.17850300,0.03082369
-2.48765001,0.15283670,3.19879700,0.06973480
-2.48760001,0.15280620,3.21237800,0.07522812
-2.48755001,0.15305030,3.20001800,0.04257332
-2.48750001,0.15329450,3.22031300,0.04440443
-2.48745001,0.15311140,3.23374100,0.08270516
-2.48740001,0.15311140,3.18659000,0.05432295
-2.48735001,0.15314190,3.19940800,0.06530961
-2.48730001,0.15317240,3.22031300,0.07461776
-2.48725001,0.15323340,3.22458600,0.06973480
-2.48720001,0.15317240,3.21848200,0.05981628
-2.48715001,0.15298930,3.27982400,0.11230810
-2.48710001,0.15292820,3.21176800,0.05493332
-2.48705001,0.15295880,3.20917400,0.05920591
-2.48700001,0.15277570,3.18720100,0.03265481
-2.48695001,0.15268410,3.21543000,0.05111850
-2.48690001,0.15292820,3.18216500,0.04562517
-2.48685001,0.15305030,3.21970300,0.06286813
-2.48680001,0.15308090,3.20123900,0.07889035
-2.48675001,0.15311140,3.17911300,0.04257332
-2.48670001,0.15320290,3.21359900,0.05233924
-2.48665001,0.15317240,3.19452500,0.06530961
-2.48660001,0.15320290,3.20368100,0.07400738
-2.48655001,0.15338600,3.19757700,0.04867702
-2.48650001,0.15323340,0.08835109,0.04135258
-2.48645001,0.15326400,3.22824800,0.09811701
-2.48640001,0.15323340,3.18536900,0.04501480
-2.48635001,0.15329450,3.21054700,0.05920591
-2.48630001,0.15320290,3.22641700,0.05432295
-2.48625001,0.15344710,3.19025200,0.05798517
-2.48620001,0.15363020,3.21726100,0.04867702
-2.48615001,0.15350810,3.20307000,0.04989776
-2.48610001,0.15356910,3.21176800,0.06347850
-2.48605001,0.15359970,3.23313100,0.08514664
-2.48600001,0.15363020,3.20368100,0.08331553
-2.48595001,0.15356910,3.21359900,0.09872738
-2.48590001,0.15356910,3.18659000,0.02517777
-2.48585001,0.15356910,3.21909200,0.07766961
-2.48580001,0.15335550,3.22519600,0.04623554
-2.48575001,0.15359970,3.21054700,0.06973480
-2.48570001,0.15363020,3.21604100,0.06469924
-2.48565001,0.15369120,3.23557200,0.05859554
-2.48560001,0.15378280,3.21787200,0.06653035
-2.48555001,0.15378280,3.19940800,0.03936888
-2.48550001,0.15372170,3.23191000,0.04501480
-2.48545001,0.15372170,3.20612200,0.05920591
-2.48540001,0.15384380,3.19452500,0.03753777
-2.48535001,0.15372170,3.21054700,0.07278664
-2.48530001,0.15366070,3.19269400,0.09369183
-2.48525001,0.15375230,0.09750663,0.07034516
-2.48520001,0.15366070,3.20551200,0.04745628
-2.48515001,0.15347760,3.21298900,0.03997925
-2.48510001,0.15359970,3.20734300,0.06973480
-2.48505001,0.15378280,3.20795300,0.05233924
-2.48500001,0.15372170,3.20993700,0.05355999
-2.48495001,0.15366070,3.19635600,0.05615406
-2.48490001,0.15369120,3.19940800,0.03814813
-2.48485001,0.15366070,3.22580600,0.03875851
-2.48480001,0.15378280,3.22824800,0.06408887
-2.48475001,0.15378280,3.23069000,0.06653035
-2.48470001,0.15369120,3.20795300,0.07522812
-2.48465001,0.15341650,3.25281500,0.08270516
-2.48460001,0.15350810,-0.11001920,-0.16312140
-2.48455001,0.15363020,3.22092300,0.03570665
-2.48450001,0.15347760,3.20184900,0.06408887
-2.48445001,0.15344710,3.21237800,0.05920591
-2.48440001,0.15350810,3.20795300,0.04684591
-2.48435001,0.15359970,3.17545100,0.05172887
-2.48430001,0.15363020,3.21298900,0.05981628
-2.48425001,0.15359970,3.22275400,0.04440443
-2.48420001,0.15347760,3.22153400,0.06973480
-2.48415001,0.15341650,3.21848200,0.06973480
-2.48410001,0.15353860,3.23557200,0.09872738
-2.48405001,0.15341650,3.21970300,0.06790368
-2.48400001,0.15314190,3.20551200,0.06225776
-2.48395001,0.15320290,3.15576600,0.03448591
-2.48390001,0.15335550,3.22092300,0.06103702
-2.48385001,0.15347760,3.22214400,0.07339702
-2.48380001,0.15338600,3.24060800,0.06347850
-2.48375001,0.15350810,3.21604100,0.03997925
-2.48370001,0.15356910,3.21115800,0.08148442
-2.48365001,0.15353860,3.22885800,0.07766961
-2.48360001,0.15363020,3.20795300,0.06164739
-2.48355001,0.15353860,3.19391500,0.07156590
-2.48350001,0.15356910,3.23069000,0.05493332
-2.48345001,0.15359970,3.20429100,0.06530961
-2.48340001,0.15369120,3.20795300,0.03814813
-2.48335001,0.15332500,3.21848200,0.04745628
-2.48330001,0.15335550,3.22336500,0.06408887
-2.48325001,0.15344710,3.20123900,0.06912442
-2.48320001,0.15344710,3.20429100,0.06164739
-2.48315001,0.15332500,3.23252100,0.08575701
-2.48310001,0.15347760,3.19208400,0.06530961
-2.48305001,0.15335550,3.15210400,0.04196295
-2.48300001,0.15329450,3.22336500,0.07278664
-2.48295001,0.15338600,3.19940800,0.03814813
-2.48290001,0.15332500,3.21604100,0.07278664
-2.48285001,0.15326400,3.22031300,0.06347850
-2.48280001,0.15326400,1.43635400,-0.63356420
-2.48275001,0.15329450,3.20429100,0.06286813
-2.48270001,0.15292820,3.20001800,0.04989776
-2.48265001,0.15283670,3.19635600,0.07705924
-2.48260001,0.15289770,3.21176800,0.04867702
-2.48255001,0.15289770,3.20734300,0.06469924
-2.48250001,0.15250100,3.21298900,0.06469924
-2.48245001,0.15262310,3.19818700,0.04806665
-2.48240001,0.15253150,3.20490100,0.05432295
-2.48235001,0.15244000,3.22824800,0.08270516
-2.48230001,0.15228740,3.21604100,0.08011109
-2.48225001,0.15231790,3.22336500,0.05859554
-2.48220001,0.15231790,0.08468886,0.07095554
-2.48215001,0.15207370,3.20246000,0.06790368
-2.48210001,0.15210430,3.20673200,0.06225776
-2.48205001,0.15179910,3.19147300,0.04135258
-2.48200001,0.15158540,3.22702700,0.07095554
-2.48195001,0.15173800,3.20246000,0.07827998
-2.48190001,0.15173800,3.17911300,0.03448591
-2.48185001,0.15176860,3.24732200,0.07766961
-2.48180001,0.15179910,3.21420900,0.04684591
-2.48175001,0.15167700,3.18964200,0.03387555
-2.48170001,0.15158540,3.20062900,0.06286813
-2.48165001,0.15164650,3.19208400,0.05676443
-2.48160001,0.15176860,3.21359900,0.07217628
-2.48155001,0.15158540,0.10925630,0.06912442
-2.48150001,0.15140230,3.20551200,0.07095554
-2.48145001,0.15155490,3.20062900,0.04989776
-2.48140001,0.15152440,3.23435200,0.07339702
-2.48135001,0.15146340,3.18216500,0.07156590
-2.48130001,0.15146340,3.20184900,0.04562517
-2.48125001,0.15152440,3.19757700,0.06408887
-2.48120001,0.15155490,3.18903200,0.06469924
-2.48115001,0.15158540,3.21909200,0.07705924
-2.48110001,0.15155490,3.19818700,0.07705924
-2.48105001,0.15143280,3.21970300,0.06653035
-2.48100001,0.15143280,3.22763800,0.07095554
-2.48095001,0.15152440,3.18414900,0.05981628
-2.48090001,0.15146340,3.19391500,0.05615406
-2.48085001,0.15112770,3.23069000,0.02716147
-2.48080001,0.15128030,3.19025200,0.06469924
-2.48075001,0.15140230,3.18842100,0.05493332
-2.48070001,0.15149390,3.21482000,0.07522812
-2.48065001,0.15146340,3.21543000,0.07339702
-2.48060001,0.15137180,3.22092300,0.04623554
-2.48055001,0.15128030,3.21298900,0.05111850
-2.48050001,0.15137180,3.21726100,0.07278664
-2.48045001,0.15152440,3.17667200,0.06042665
-2.48040001,0.15134130,3.19818700,0.04867702
-2.48035001,0.15115820,3.22031300,0.07400738
-2.48030001,0.15118870,3.17850300,0.04867702
-2.48025001,0.15115820,3.20429100,0.04684591
-2.48020001,0.15100560,3.20123900,0.03753777
-2.48015001,0.15106660,3.22153400,0.07217628
-2.48010001,0.15121920,3.20368100,0.05432295
-2.48005001,0.15118870,3.22763800,0.05554369
-2.48000001,0.15115820,3.19879700,0.07217628
-2.47995001,0.15128030,3.18536900,0.06347850
-2.47990001,0.15115820,3.20673200,0.05859554
-2.47985001,0.15118870,3.21665100,0.08697775
-2.47980001,0.15128030,3.22702700,0.07156590
-2.47975001,0.15124970,3.22092300,0.05111850
-2.47970001,0.15097510,0.07232887,0.04867702
-2.47965001,0.15100560,3.22824800,0.06973480
-2.47960001,0.15100560,3.19513500,0.04623554
-2.47955001,0.15076140,3.21176800,0.05355999
-2.47950001,0.15079200,3.21726100,0.07827998
-2.47945001,0.15073090,3.18414900,0.04501480
-2.47940001,0.15070040,3.18414900,0.05172887
-2.47935001,0.15054780,3.23496200,0.06790368
-2.47930001,0.15054780,3.21665100,0.06286813
-2.47925001,0.15048680,3.21970300,0.06912442
-2.47920001,0.15042570,3.22214400,0.08087405
-2.47915001,0.15042570,0.09811701,0.05432295
-2.47910001,0.15036470,3.20612200,0.07644887
-2.47905001,0.15027310,3.21848200,0.04745628
-2.47900001,0.15018160,3.22580600,0.05355999
-2.47895001,0.15015110,3.21482000,0.06225776
-2.47890001,0.15009000,3.19940800,0.04806665
-2.47885001,0.14996800,3.20001800,0.06790368
-2.47880001,0.14999850,3.19025200,0.04745628
-2.47875001,0.14990690,3.19940800,0.05432295
-2.47870001,0.14981540,3.22153400,0.08880886
-2.47865001,0.14984590,3.22824800,0.03875851
-2.47860001,0.14981540,3.20551200,0.06912442
-2.47855001,0.14963220,3.16385400,0.02838221
-2.47850001,0.14957120,3.21787200,0.06286813
-2.47845001,0.14954070,3.24732200,0.06225776
-2.47840001,0.14932710,3.21237800,0.07461776
-2.47835001,0.14923550,3.21359900,0.07400738
-2.47830001,0.14914390,3.16690600,0.03936888
-2.47825001,0.14914390,3.21298900,0.06912442
-2.47820001,0.14920500,3.21848200,0.05233924
-2.47815001,0.14929660,3.17056800,0.05798517
-2.47810001,0.14917450,3.20673200,0.05355999
-2.47805001,0.14908290,3.23816600,0.06729332
-2.47800001,0.14923550,3.19574600,0.03997925
-2.47795001,0.14914390,3.20551200,0.04745628
