Time,Channel A,Channel B,Channel C
(s),(V),(V),(V)

-2.50010001,0.15027310,3.25769800,3.21894000
-2.50005001,0.15002900,3.25952900,3.23313100
-2.50000001,0.15012050,3.23618300,3.23191000
-2.49995001,0.15024260,3.25037400,3.21451400
-2.49990001,0.15030370,3.25342600,3.23435200
-2.49985001,0.15033420,3.25708800,3.20032400
-2.49980001,0.15030370,3.25342600,3.20780100
-2.49975001,0.15027310,3.23816600,3.20230700
-2.49970001,0.15033420,3.24854300,3.21955000
-2.49965001,0.15045620,3.21665100,3.19727200
-2.49960001,0.15039520,3.22885800,3.18872600
-2.49955001,0.15030370,3.25098400,3.23007900
-2.49950001,0.15027310,3.22519600,3.22565400
-2.49945001,0.15051730,3.21787200,3.20230700
-2.49940001,0.15036470,3.25098400,3.23069000
-2.49935001,0.15045620,3.21482000,3.20352800
-2.49930001,0.15048680,3.24549100,3.22565400
-2.49925001,0.15036470,3.22641700,3.19360900
-2.49920001,0.15048680,3.27005800,3.22687500
-2.49915001,0.15054780,3.22824800,3.20963200
-2.49910001,0.15045620,3.23252100,3.22077100
-2.49905001,0.15045620,3.25647800,3.20780100
-2.49900001,0.15057830,3.23877700,3.24793200
-2.49895001,0.15063940,3.23252100,3.23496200
-2.49890001,0.15054780,3.24182900,3.23435200
-2.49885001,0.15063940,3.23755600,3.20780100
-2.49880001,0.15094450,3.24182900,3.21146300
-2.49875001,0.15076140,3.26395500,3.23007900
-2.49870001,0.15085300,3.23999800,3.23984500
-2.49865001,0.15091400,3.22641700,3.22077100
-2.49860001,0.15094450,3.26197100,3.21832900
-2.49855001,0.15094450,3.25769800,3.22946900
-2.49850001,0.15103610,3.23130000,3.18369100
-2.49845001,0.15106660,3.23374100,3.21955000
-2.49840001,0.15103610,3.23999800,3.22077100
-2.49835001,0.15118870,3.26075000,3.23923500
-2.49830001,0.15131080,3.24610100,3.18063900
-2.49825001,0.15121920,3.23816600,3.19971300
-2.49820001,0.15131080,3.24610100,3.24976300
-2.49815001,0.15152440,3.25403600,3.21771900
-2.49810001,0.15146340,3.23007900,3.22077100
-2.49805001,0.15158540,3.27494100,3.25098400
-2.49800001,0.15170750,3.20993700,3.22077100
-2.49795001,0.15189060,3.26014000,3.21451400
-2.49790001,0.15186010,3.29767800,3.27875600
-2.49785001,0.15204320,3.22214400,3.20902100
-2.49780001,0.15210430,3.25342600,3.21771900
-2.49775001,0.15204320,3.24366000,3.23923500
-2.49770001,0.15210430,3.23191000,3.21268300
-2.49765001,0.15225680,3.21909200,3.21588800
-2.49760001,0.15219580,3.21604100,3.20230700
-2.49755001,0.15213480,3.25342600,3.22504400
-2.49750001,0.15234840,3.23313100,3.22077100
-2.49745001,0.15250100,3.22885800,3.21588800
-2.49740001,0.15256200,3.27372100,3.23191000
-2.49735001,0.15268410,3.25342600,3.22382300
-2.49730001,0.15265360,3.24427000,3.21710900
-2.49725001,0.15256200,3.25037400,3.22260200
-2.49720001,0.15277570,3.24610100,3.20352800
-2.49715001,0.15286720,3.21420900,3.19849200
-2.49710001,0.15277570,3.23374100,3.22824800
-2.49705001,0.15283670,3.24671200,3.21146300
-2.49700001,0.15295880,3.23069000,3.20841100
-2.49695001,0.15308090,3.22031300,3.22687500
-2.49690001,0.15298930,3.26136000,3.20902100
-2.49685001,0.15326400,3.22275400,3.23252100
-2.49680001,0.15332500,3.22641700,3.21527800
-2.49675001,0.15335550,3.24671200,3.21955000
-2.49670001,0.15356910,3.23374100,3.22626400
-2.49665001,0.15359970,3.23816600,3.22321200
-2.49660001,0.15359970,3.22763800,3.23007900
-2.49655001,0.15378280,3.26136000,3.22199200
-2.49650001,0.15402690,3.23694600,3.20169700
-2.49645001,0.15402690,3.22336500,3.21207300
-2.49640001,0.15402690,3.26014000,3.22504400
-2.49635001,0.15421000,3.22336500,3.23252100
-2.49630001,0.15439310,3.24060800,3.20535900
-2.49625001,0.15433210,3.23374100,3.21085200
-2.49620001,0.15451520,3.22946900,3.24366000
-2.49615001,0.15463730,3.22702700,3.22946900
-2.49610001,0.15463730,3.22641700,3.23007900
-2.49605001,0.15478990,3.24976300,3.20169700
-2.49600001,0.15500350,3.24488000,3.21894000
-2.49595001,0.15497300,3.25342600,3.22077100
-2.49590001,0.15515610,3.25647800,3.23191000
-2.49585001,0.15530870,3.20673200,3.21771900
-2.49580001,0.15543080,3.23130000,3.19605100
-2.49575001,0.15530870,3.27005800,3.23252100
-2.49570001,0.15543080,3.22763800,3.23374100
-2.49565001,0.15558340,3.25037400,3.22687500
-2.49560001,0.15546130,3.24610100,3.22626400
-2.49555001,0.15570540,3.24854300,3.20719000
-2.49550001,0.15570540,3.26075000,3.18994700
-2.49545001,0.15579700,3.24976300,3.20719000
-2.49540001,0.15576650,3.25769800,3.24793200
-2.49535001,0.15591910,3.23694600,3.20658000
-2.49530001,0.15601060,3.23130000,3.21955000
-2.49525001,0.15594960,3.25098400,3.19360900
-2.49520001,0.15625480,3.24610100,3.21588800
-2.49515001,0.15619370,3.25830900,3.21451400
-2.49510001,0.15616320,3.24243900,3.23435200
-2.49505001,0.15631580,3.22824800,3.21832900
-2.49500001,0.15649890,3.22580600,3.20474900
-2.49495001,0.15652940,3.25647800,3.23984500
-2.49490001,0.15649890,3.24610100,3.22946900
-2.49485001,0.15677360,3.24182900,3.18994700
-2.49480001,0.15671250,3.22946900,3.19605100
-2.49475001,0.15674310,3.24427000,3.21268300
-2.49470001,0.15707880,3.24304900,3.21207300
-2.49465001,0.15720080,3.23007900,3.19788200
-2.49460001,0.15717030,3.23252100,3.23740300
-2.49455001,0.15729240,3.26258100,3.23313100
-2.49450001,0.15762810,3.22885800,3.20169700
-2.49445001,0.15765860,3.23694600,3.19055700
-2.49440001,0.15768910,3.23694600,3.22885800
-2.49435001,0.15781120,3.24793200,3.20291800
-2.49430001,0.15765860,3.21604100,3.19483000
-2.49425001,0.15778070,3.24488000,3.24106600
-2.49420001,0.15790280,3.26456500,3.23435200
-2.49415001,0.15784170,3.23755600,3.22077100
-2.49410001,0.15775020,3.24121800,3.22199200
-2.49405001,0.15784170,3.25098400,3.21451400
-2.49400001,0.15790280,3.23435200,3.20719000
-2.49395001,0.15762810,3.24610100,3.22626400
-2.49390001,0.15750600,3.25098400,3.22687500
-2.49385001,0.15747550,3.23877700,3.19177800
-2.49380001,0.15741450,3.25464700,3.23069000
-2.49375001,0.15726190,3.25159500,3.22626400
-2.49370001,0.15720080,3.23130000,3.19971300
-2.49365001,0.15701770,3.20490100,3.20658000
-2.49360001,0.15692620,3.24366000,3.21771900
-2.49355001,0.15701770,3.24243900,3.21588800
-2.49350001,0.15686510,3.23313100,3.21329400
-2.49345001,0.15662100,3.24549100,3.18735300
-2.49340001,0.15652940,3.23938700,3.20413800
-2.49335001,0.15659050,3.24610100,3.20963200
-2.49330001,0.15649890,3.21604100,3.22824800
-2.49325001,0.15628530,3.23755600,3.21329400
-2.49320001,0.15625480,3.23313100,3.22260200
-2.49315001,0.15616320,3.22702700,3.22260200
-2.49310001,0.15613270,3.23618300,3.21894000
-2.49305001,0.15619370,3.22824800,3.18369100
-2.49300001,0.15598010,3.23069000,3.20413800
-2.49295001,0.15585800,3.24121800,3.24243900
-2.49290001,0.15579700,3.23252100,3.20841100
-2.49285001,0.15588850,3.22763800,3.20474900
-2.49280001,0.15573600,3.24243900,3.21649800
-2.49275001,0.15567490,3.23755600,3.23618300
-2.49270001,0.15570540,3.23069000,3.23435200
-2.49265001,0.15552230,3.22824800,3.22138100
-2.49260001,0.15543080,3.26883700,3.22687500
-2.49255001,0.15543080,3.20612200,3.22199200
-2.49250001,0.15536970,3.23130000,3.21268300
-2.49245001,0.15524770,3.24549100,3.17941800
-2.49240001,0.15521710,3.29767800,3.27692500
-2.49235001,0.15512560,3.21359900,3.21710900
-2.49230001,0.15503400,3.21726100,3.22946900
-2.49225001,0.15491200,3.23877700,3.21649800
-2.49220001,0.15503400,3.22519600,3.18735300
-2.49215001,0.15485090,3.25220500,3.25540900
-2.49210001,0.15475940,3.24304900,3.23740300
-2.49205001,0.15478990,3.23435200,3.20535900
-2.49200001,0.15466780,3.25281500,3.21710900
-2.49195001,0.15454570,3.25830900,3.21390400
-2.49190001,0.15457630,3.26944800,3.21329400
-2.49185001,0.15454570,3.20993700,3.19177800
-2.49180001,0.15439310,3.23496200,3.23374100
-2.49175001,0.15433210,3.27677200,3.26334400
-2.49170001,0.15430160,3.22702700,3.20902100
-2.49165001,0.15417950,3.24793200,3.21451400
-2.49160001,0.15405740,3.24854300,3.25403600
-2.49155001,0.15417950,3.28531800,3.24854300
-2.49150001,0.15396590,3.24366000,3.22321200
-2.49145001,0.15387430,3.24427000,3.23618300
-2.49140001,0.15387430,3.23557200,3.20291800
-2.49135001,0.15378280,3.23130000,3.21649800
-2.49130001,0.15369120,3.27127900,3.23801400
-2.49125001,0.15366070,3.23877700,3.23496200
-2.49120001,0.15359970,3.21604100,3.22260200
-2.49115001,0.15344710,3.24549100,3.22138100
-2.49110001,0.15338600,3.30500200,3.26273400
-2.49105001,0.15341650,3.24366000,3.21329400
-2.49100001,0.15338600,3.21909200,3.19666100
-2.49095001,0.15317240,3.27005800,3.20963200
-2.49090001,0.15317240,3.25952900,3.21146300
-2.49085001,0.15323340,3.23130000,3.20032400
-2.49080001,0.15308090,3.25952900,3.24304900
-2.49075001,0.15292820,3.24610100,3.22885800
-2.49070001,0.15289770,3.23191000,3.21588800
-2.49065001,0.15280620,3.25220500,3.21146300
-2.49060001,0.15280620,3.23374100,3.23496200
-2.49055001,0.15271460,3.25403600,3.22016000
-2.49050001,0.15253150,3.21543000,3.21451400
-2.49045001,0.15244000,3.30072900,3.29477800
-2.49040001,0.15259250,3.23130000,3.20474900
-2.49035001,0.15250100,3.24854300,3.21451400
-2.49030001,0.15225680,3.24366000,3.25464700
-2.49025001,0.15225680,3.24610100,3.21390400
-2.49020001,0.15225680,3.23313100,3.21451400
-2.49015001,0.15210430,3.26395500,3.23313100
-2.49010001,0.15195170,3.30072900,3.24243900
-2.49005001,0.15186010,3.22824800,3.22504400
-2.49000001,0.15179910,3.22336500,3.22824800
-2.48995001,0.15173800,3.26761700,3.25464700
-2.48990001,0.15176860,3.23191000,3.17377200
-2.48985001,0.15152440,3.22336500,3.19177800
-2.48980001,0.15131080,3.26014000,3.25724100
-2.48975001,0.15146340,3.27677200,3.21894000
-2.48970001,0.15146340,3.26014000,3.26700600
-2.48965001,0.15124970,3.24304900,3.22946900
-2.48960001,0.15106660,3.24488000,3.24915300
-2.48955001,0.15106660,3.23938700,3.22687500
-2.48950001,0.15097510,3.27005800,3.23740300
-2.48945001,0.15085300,3.25769800,3.23435200
-2.48940001,0.15076140,3.20917400,3.18430100
-2.48935001,0.15063940,3.23999800,3.20093400
-2.48930001,0.15057830,3.25342600,3.23313100
-2.48925001,0.15051730,3.21848200,3.22443300
-2.48920001,0.15045620,3.22824800,3.20169700
-2.48915001,0.15027310,3.24915300,3.24243900
-2.48910001,0.15021210,3.24793200,3.21832900
-2.48905001,0.15027310,3.27311000,3.23679300
-2.48900001,0.15002900,3.24121800,3.23130000
-2.48895001,0.14999850,3.28287600,3.24304900
-2.48890001,0.14987640,3.23938700,3.20413800
-2.48885001,0.14984590,3.22336500,3.20474900
-2.48880001,0.14972380,3.27677200,3.24106600
-2.48875001,0.14975430,3.24488000,3.22260200
-2.48870001,0.14966280,3.24427000,3.24427000
-2.48865001,0.14944910,3.24488000,3.23862400
-2.48860001,0.14941860,3.26761700,3.21390400
-2.48855001,0.14935760,3.25342600,3.22687500
-2.48850001,0.14926600,3.22519600,3.22138100
-2.48845001,0.14914390,3.29340500,3.24793200
-2.48840001,0.14920500,3.23999800,3.21390400
-2.48835001,0.14899140,3.24060800,3.23252100
-2.48830001,0.14883880,3.25952900,3.24427000
-2.48825001,0.14886930,3.24976300,3.22885800
-2.48820001,0.14880830,3.25525700,3.24732200
-2.48815001,0.14856410,3.26197100,3.21329400
-2.48810001,0.14862510,3.25098400,3.23130000
-2.48805001,0.14850310,3.19574600,3.22824800
-2.48800001,0.14825890,3.21482000,3.21329400
-2.48795001,0.14825890,3.25281500,3.20902100
-2.48790001,0.14838100,3.23130000,3.21710900
-2.48785001,0.14819790,3.22702700,3.25281500
-2.48780001,0.14807580,3.28104500,3.25846100
-2.48775001,0.14801480,3.26075000,3.22504400
-2.48770001,0.14792320,3.23618300,3.21146300
-2.48765001,0.14786220,0.09628589,0.07400738
-2.48760001,0.14780110,0.08041627,0.09002960
-2.48755001,0.14770960,0.11841180,0.05111850
-2.48750001,0.14749600,0.10925630,0.09063997
-2.48745001,0.14758750,0.09140293,0.09750663
-2.48740001,0.14755700,0.09506515,0.06790368
-2.48735001,0.14725180,0.08896145,0.09689627
-2.48730001,0.14709920,0.11780140,0.12085330
-2.48725001,0.14722130,0.09567553,0.08941923
-2.48720001,0.14722130,0.10238960,0.06408887
-2.48715001,0.14694660,0.10177920,0.08941923
-2.48710001,0.14688560,0.09872738,0.07644887
-2.48705001,0.14682460,0.08041627,0.05920591
-2.48700001,0.14682460,0.12817770,0.06408887
-2.48695001,0.14682460,0.10986660,0.07950072
-2.48690001,0.14661090,0.11352890,0.08011109
-2.48685001,0.14645830,0.08346812,0.08011109
-2.48680001,0.14645830,0.10483110,0.08575701
-2.48675001,0.14651940,0.12146370,0.06469924
-2.48670001,0.14642780,0.10864590,0.09994812
-2.48665001,0.14615310,0.10116890,0.09247109
-2.48660001,0.14624470,0.09933775,0.07217628
-2.48655001,0.14615310,0.10544150,0.06912442
-2.48650001,0.14606160,0.10864590,0.07400738
-2.48645001,0.14603110,0.10116890,0.07522812
-2.48640001,0.14590900,0.09994812,0.07583850
-2.48635001,0.14581740,0.10177920,0.06103702
-2.48630001,0.14584800,0.10055850,0.10803550
-2.48625001,0.14581740,0.06378368,0.04867702
-2.48620001,0.14560380,0.09872738,0.06469924
-2.48615001,0.14545120,0.12573630,0.08941923
-2.48610001,0.14554280,0.07782220,0.06103702
-2.48605001,0.14548170,0.11169770,0.07950072
-2.48600001,0.14511550,0.10116890,0.08331553
-2.48595001,0.14511550,0.09262367,0.06653035
-2.48590001,0.14508500,0.11902220,0.08941923
-2.48585001,0.14496290,0.09201331,0.08880886
-2.48580001,0.14484090,0.09262367,0.07827998
-2.48575001,0.14477980,0.09140293,0.07827998
-2.48570001,0.14459670,0.10422070,0.06973480
-2.48565001,0.14447460,0.12024290,0.08941923
-2.48560001,0.14447460,0.09567553,0.08575701
-2.48555001,0.14429150,0.09140293,0.06790368
-2.48550001,0.14410840,0.09933775,0.07889035
-2.48545001,0.14416940,0.08774071,0.08011109
-2.48540001,0.14395580,0.08835109,0.09063997
-2.48535001,0.14362010,0.09750663,0.10986660
-2.48530001,0.14362010,0.10422070,0.08819849
-2.48525001,0.14362010,0.09201331,0.07766961
-2.48520001,0.14337600,0.12024290,0.08697775
-2.48515001,0.14304030,0.09811701,0.10483110
-2.48510001,0.14304030,0.06500442,0.10238960
-2.48505001,0.14294870,0.08713035,0.10177920
-2.48500001,0.14276560,0.13122960,0.06973480
-2.48495001,0.14273510,0.08774071,0.08453627
-2.48490001,0.14255200,0.09811701,0.07950072
-2.48485001,0.14246040,0.10986660,0.08819849
-2.48480001,0.14239940,0.09323405,0.09063997
-2.48475001,0.14246040,0.09506515,0.05798517
-2.48470001,0.14212470,0.09567553,0.08880886
-2.48465001,0.14185000,0.11902220,0.07827998
-2.48460001,0.14185000,0.09933775,0.07522812
-2.48455001,0.14169740,0.10422070,0.07705924
-2.48450001,0.14169740,0.10483110,0.09308145
-2.48445001,0.14169740,0.10742520,0.07950072
-2.48440001,0.14151430,0.10666220,0.08636738
-2.48435001,0.14130070,0.09445479,0.07461776
-2.48430001,0.14127020,0.10605180,0.06286813
-2.48425001,0.14127020,0.12024290,0.10803550
-2.48420001,0.14111760,0.09323405,0.08270516
-2.48415001,0.14096500,0.11413920,0.08011109
-2.48410001,0.14102600,0.10361030,0.09750663
-2.48405001,0.14069030,0.11413920,0.07583850
-2.48400001,0.14059880,0.13687550,0.11169770
-2.48395001,0.14044620,0.08774071,0.07827998
-2.48390001,0.14020200,0.10666220,0.09186071
-2.48385001,0.14008000,0.10483110,0.08880886
-2.48380001,0.14008000,0.09689627,0.05432295
-2.48375001,0.13986630,0.08957183,0.07644887
-2.48370001,0.13943910,0.09811701,0.07950072
-2.48365001,0.13937800,0.11780140,0.08209479
-2.48360001,0.13940860,0.08529923,0.08514664
-2.48355001,0.13919490,0.08285775,0.07461776
-2.48350001,0.13885920,0.12146370,0.07583850
-2.48345001,0.13888970,0.11780140,0.06530961
-2.48340001,0.13870660,0.11413920,0.06729332
-2.48335001,0.13849300,0.09140293,0.08758812
-2.48330001,0.13840140,0.09140293,0.07583850
-2.48325001,0.13812680,0.10300000,0.08636738
-2.48320001,0.13794370,0.10666220,0.06408887
-2.48315001,0.13788260,0.11597030,0.08270516
-2.48310001,0.13776050,0.09933775,0.07889035
-2.48305001,0.13748590,0.08590961,0.07705924
-2.48300001,0.13733330,0.11719110,0.07705924
-2.48295001,0.13748590,0.10422070,0.05981628
-2.48290001,0.13730280,0.09933775,0.10116890
-2.48285001,0.13727230,0.11291850,0.06790368
-2.48280001,0.13711970,0.08407849,0.06347850
-2.48275001,0.13699760,0.10238960,0.08087405
-2.48270001,0.13693650,0.08102664,0.07705924
-2.48265001,0.13675340,0.09079257,0.08575701
-2.48260001,0.13675340,0.09201331,0.09689627
-2.48255001,0.13641770,0.07721183,0.07461776
-2.48250001,0.13635670,0.09506515,0.11169770
-2.48245001,0.13641770,0.09811701,0.06729332
-2.48240001,0.13608200,0.10361030,0.08514664
-2.48235001,0.13599050,0.12939850,0.10483110
-2.48230001,0.13596000,0.09079257,0.07827998
-2.48225001,0.13583790,0.10238960,0.07461776
-2.48220001,0.13556320,0.11597030,0.10986660
-2.48215001,0.13544110,0.08468886,0.07644887
-2.48210001,0.13541060,0.13443400,0.07400738
-2.48205001,0.13519700,0.09140293,0.09628589
-2.48200001,0.13513600,0.09140293,0.06790368
-2.48195001,0.13504440,0.08896145,0.07950072
-2.48190001,0.13480030,0.13504440,0.07950072
-2.48185001,0.13446450,0.11352890,0.08514664
-2.48180001,0.13446450,0.10483110,0.06912442
-2.48175001,0.13415940,0.09506515,0.06591998
-2.48170001,0.13397630,0.09628589,0.08697775
-2.48165001,0.13382370,0.11658070,0.07034516
-2.48160001,0.13370160,0.08468886,0.04745628
-2.48155001,0.13357950,0.11597030,0.07950072
-2.48150001,0.13351850,0.11780140,0.09308145
-2.48145001,0.13354900,0.11291850,0.08514664
-2.48140001,0.13330480,0.07843257,0.06347850
-2.48135001,0.13327430,0.10300000,0.10361030
-2.48130001,0.13336590,0.11169770,0.08453627
-2.48125001,0.13318280,0.10864590,0.08148442
-2.48120001,0.13315230,0.08529923,0.07889035
-2.48115001,0.13321330,0.11474960,0.07522812
-2.48110001,0.13321330,0.09384441,0.06591998
-2.48105001,0.13321330,0.08346812,0.08636738
-2.48100001,0.13312170,0.10116890,0.07461776
-2.48095001,0.13324380,0.10361030,0.07827998
-2.48090001,0.13309120,0.10116890,0.05859554
-2.48085001,0.13321330,0.11108740,0.09506515
-2.48080001,0.13342690,0.09628589,0.07766961
-2.48075001,0.13327430,0.09140293,0.07400738
-2.48070001,0.13330480,0.11352890,0.07095554
-2.48065001,0.13345740,0.09933775,0.09750663
-2.48060001,0.13348800,0.08896145,0.06653035
-2.48055001,0.13333540,0.12756740,0.09369183
-2.48050001,0.13333540,0.11352890,0.06225776
-2.48045001,0.13342690,0.09628589,0.06469924
-2.48040001,0.13351850,0.10544150,0.07095554
-2.48035001,0.13345740,0.11474960,0.07889035
-2.48030001,0.13348800,0.07354961,0.05737480
-2.48025001,0.13339640,0.09994812,0.09445479
-2.48020001,0.13348800,0.12634660,0.10116890
-2.48015001,0.13385420,0.10177920,0.07095554
-2.48010001,0.13379310,0.10116890,0.09247109
-2.48005001,0.13373210,0.10116890,0.09933775
-2.48000001,0.13391520,0.09689627,0.07950072
-2.47995001,0.13425090,0.09994812,0.06591998
-2.47990001,0.13422040,0.10300000,0.07705924
-2.47985001,0.13409830,0.09201331,0.08758812
-2.47980001,0.13422040,0.11841180,0.06103702
-2.47975001,0.13431200,0.08224738,0.07095554
-2.47970001,0.13425090,0.11352890,0.10177920
-2.47965001,0.13434250,0.08346812,0.08270516
-2.47960001,0.13422040,0.09811701,0.05615406
-2.47955001,0.13434250,0.11352890,0.08941923
-2.47950001,0.13449510,0.08163701,0.07217628
-2.47945001,0.13455610,0.08835109,0.08087405
-2.47940001,0.13440350,0.11413920,0.08514664
-2.47935001,0.13449510,0.09201331,0.07339702
-2.47930001,0.13458660,0.09201331,0.07095554
-2.47925001,0.13449510,0.10422070,0.08514664
-2.47920001,0.13452560,0.12756740,0.09445479
-2.47915001,0.13458660,0.08774071,0.06912442
-2.47910001,0.13449510,0.07171850,0.06530961
-2.47905001,0.13446450,0.10116890,0.07156590
-2.47900001,0.13464770,0.09750663,0.08880886
-2.47895001,0.13467820,0.06134220,0.05432295
-2.47890001,0.13464770,0.08713035,0.09247109
-2.47885001,0.13492230,0.10986660,0.08331553
-2.47880001,0.13498340,0.09811701,0.11474960
-2.47875001,0.13480030,0.09567553,0.07583850
-2.47870001,0.13492230,0.10361030,0.10544150
-2.47865001,0.13504440,0.07843257,0.06042665
-2.47860001,0.13507490,0.08102664,0.07889035
-2.47855001,0.13498340,0.11597030,0.08758812
-2.47850001,0.13516650,0.07660146,0.06164739
-2.47845001,0.13516650,0.08224738,0.07705924
-2.47840001,0.13516650,0.09445479,0.09628589
-2.47835001,0.13531910,0.07049776,0.06469924
-2.47830001,0.13534960,0.07721183,0.09186071
-2.47825001,0.13531910,0.11352890,0.08011109
-2.47820001,0.13525800,0.10803550,0.08636738
-2.47815001,0.13544110,0.08163701,0.07461776
-2.47810001,0.13547170,0.10666220,0.08453627
-2.47805001,0.13541060,3.23694600,0.09063997
-2.47800001,0.13556320,3.22763800,0.08941923
-2.47795001,0.13559370,3.23374100,0.07705924
